event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Milan,home, 14 ,Goal, Olivier Giroud , Sandro Tonali 
2,1,RB Salzburg,away, 43 ,Yellow card, Noah Okafor ,
3,1,RB Salzburg,away, 45 ,Substitution, Bernardo Fernandes Da Silva , Oumar Solet 
4,1,Milan,home, 46 ,Goal, Rade Krunic , Olivier Giroud 
5,1,Milan,home, 57 ,Goal, Olivier Giroud ,
6,1,RB Salzburg,away, 61 ,Yellow card, Lucas Gourna-Douath ,
7,1,RB Salzburg,away, 62 ,Substitution, Benjamin Šeško , Junior Adamu 
8,1,RB Salzburg,away, 64 ,Substitution, Dijon Kameri , Lucas Gourna-Douath 
9,1,Milan,home, 69 ,Substitution, Junior Messias , Rafael Leão 
10,1,Milan,home, 69 ,Substitution, Tommaso Pobega , Ismaël Bennacer 
11,1,RB Salzburg,away, 77 ,Substitution, Sékou Koïta , Noah Okafor 
12,1,RB Salzburg,away, 77 ,Substitution, Andreas Ulmer , Maximilian Wöber 
13,1,Milan,home, 78 ,Substitution, Charles De Ketelaere , Rade Krunic 
14,1,Milan,home, 78 ,Substitution, Fodé Ballo-Touré , Theo Hernandez 
15,1,Milan,home, 86 ,Substitution, Matteo Gabbia , Pierre Kalulu 
16,1,Milan,home, 91 ,Goal, Junior Messias , Olivier Giroud 
17,2,Sevilla,away, 31 ,Goal, Rafa Mir , Isco 
18,2,Sevilla,away, 46 ,Substitution, Nemanja Gudelj , Marcão 
19,2,Manchester City,home, 45 ,Substitution, Rodri , Jack Grealish 
20,2,Sevilla,away, 45 ,Substitution, Suso , Papu Gómez 
21,2,Sevilla,away, 45 ,Substitution, Alex Telles , Marcos Acuña 
22,2,Manchester City,home, 52 ,Goal, Rico Lewis , Julián Álvarez 
23,2,Manchester City,home, 57 ,Substitution, Bernardo Silva , Ilkay Gündoğan 
24,2,Sevilla,away, 57 ,Substitution, Erik Lamela , Isco 
25,2,Sevilla,away, 67 ,Substitution, Joan Jordan , Ivan Rakitic 
26,2,Manchester City,home, 70 ,Substitution, Josh Wilson-Esbrand , Sergio Gómez 
27,2,Manchester City,home, 70 ,Substitution, Kevin De Bruyne , Cole Palmer 
28,2,Manchester City,home, 73 ,Goal, Julián Álvarez , Kevin De Bruyne 
29,2,Manchester City,home, 83 ,Goal, Riyad Mahrez , Julián Álvarez 
30,2,Manchester City,home, 85 ,Substitution, João Cancelo , Rico Lewis 
31,3,Benfica,away, 20 ,Goal, Gonçalo Ramos , Nicolás Otamendi 
32,3,Maccabi Haifa,home, 26 ,Penalty, Tjaronn Chery , Penalty 
33,3,Benfica,away, 32 ,Substitution, Petar Musa , Gonçalo Ramos 
34,3,Benfica,away, 32 ,Substitution, Chiquinho , Fredrik Aursnes 
35,3,Benfica,away, 47 ,Yellow card, David Neres ,
36,3,Benfica,away, 59 ,Goal, Petar Musa , Alexander Bah 
37,3,Maccabi Haifa,home, 63 ,Substitution, Omer Atzili , Raz Meir 
38,3,Maccabi Haifa,home, 63 ,Substitution, Mavis Tchibota , Dean David 
39,3,Benfica,away, 69 ,Goal, Álex Grimaldo ,
40,3,Benfica,away, 73 ,Goal, Rafa Silva , David Neres 
41,3,Maccabi Haifa,home, 77 ,Substitution, Nikita Rukavytsya , Frantzdy Pierrot 
42,3,Maccabi Haifa,home, 77 ,Substitution, Ofri Arad , Ali Muhammad 
43,3,Benfica,away, 82 ,Substitution, Henrique Araújo , Rafa Silva 
44,3,Benfica,away, 82 ,Substitution, Diogo Gonçalves , David Neres 
45,3,Maccabi Haifa,home, 85 ,Yellow card, Mohammad Abu Fani ,
46,3,Maccabi Haifa,home, 85 ,Substitution, Sun Menachem , Pierre Cornud 
47,3,Benfica,away, 88 ,Goal, Henrique Araújo , Alexander Bah 
48,3,Benfica,away, 88 ,Substitution, Lucas Veríssimo , António Silva 
49,3,Maccabi Haifa,home, 89 ,Yellow card, Sun Menachem ,
50,3,Benfica,away, 92 ,Goal, João Mário , Chiquinho 
51,3,Maccabi Haifa,home, 93 ,Yellow card, Omer Atzili ,
52,4,PSG,away, 13 ,Goal, Kylian Mbappé , Lionel Messi 
53,4,Juventus,home, 14 ,Yellow card, Federico Gatti ,
54,4,PSG,away, 21 ,Substitution, Renato Sanches , Fabian Ruiz 
55,4,Juventus,home, 39 ,Goal, Leonardo Bonucci , Juan Cuadrado 
56,4,Juventus,home, 47 ,Yellow card, Arek Milik ,
