event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Sparta,home, 12 ,Substitution, Younes Namli , Koki Saito 
2,1,Sparta,home, 45 ,Substitution, Dirk Abels , Shurandy Sambo 
3,1,Sparta,home, 57 ,Substitution, Jonathan de Guzman , Vito van Crooy 
4,1,Waalwijk,away, 63 ,Substitution, Kevin Felida , Pelle Clement 
5,1,Waalwijk,away, 63 ,Substitution, Saïd Bakari , Julian Lelieveld 
6,1,Waalwijk,away, 71 ,Substitution, Mika Biereth , Iliass Bel Hassani 
7,1,Waalwijk,away, 81 ,Substitution, Michiel Kramer , Mats Seuntjens 
8,1,Waalwijk,away, 81 ,Substitution, Florian Jozefzoon , Yassin Oukili 
9,1,Sparta,home, 91 ,Substitution, Mohammed Tahiri , Sven Mijnans 
10,1,Sparta,home, 91 ,Substitution, Mike Eerdhuijzen , Younes Namli 
11,2,Emmen,home, 19 ,Yellow card, Richairo Živković ,
12,2,Emmen,home, 24 ,Goal, Lucas Bernadou ,
13,2,PSV,away, 29 ,Yellow card, Johan Bakayoko ,
14,2,PSV,away, 43 ,Red card, Mauro Júnior ,
15,2,Emmen,home, 46 ,Substitution, Ole Romeny , Rui Mendes 
16,2,PSV,away, 46 ,Substitution, Philipp Max , Johan Bakayoko 
17,2,Emmen,home, 64 ,Yellow card, Mohamed Bouchouari ,
18,2,PSV,away, 70 ,Yellow card, Ibrahim Sangaré ,
19,2,PSV,away, 70 ,Yellow card, Jordan Teze ,
20,2,PSV,away, 75 ,Substitution, Phillipp Mwene , Jordan Teze 
21,2,PSV,away, 76 ,Substitution, Joey Veerman , Guus Til 
22,2,PSV,away, 76 ,Substitution, Fodé Fofana , Anwar El Ghazi 
23,2,Emmen,home, 81 ,Substitution, Jari Vlak , Ahmed El Messaoudi 
24,2,PSV,away, 81 ,Yellow card, Philipp Max ,
25,2,PSV,away, 89 ,Substitution, Yorbe Vertessen , Érick Gutiérrez 
26,2,Emmen,home, 95 ,Yellow card, Ole Romeny ,
27,3,AZ,home, 4 ,Goal, Dani de Wit , Jens Odgaard 
28,3,Fortuna,away, 11 ,Penalty, Burak Yilmaz , Penalty 
29,3,AZ,home, 24 ,Own goal, Navarro Ximo , Own goal 
30,3,AZ,home, 34 ,Substitution, Djordje Mihailovic , Dani de Wit 
31,3,AZ,home, 41 ,Yellow card, Zinho Vanheusden ,
32,3,AZ,home, 45 ,Substitution, Maxim Dekker , Zinho Vanheusden 
33,3,AZ,home, 56 ,Goal, Vangelis Pavlidis , Yukinari Sugawara 
34,3,Fortuna,away, 62 ,Substitution, Úmaro Embaló , Navarro Ximo 
35,3,Fortuna,away, 62 ,Substitution, Paul Gladon , Tijjani Noslin 
36,3,Fortuna,away, 62 ,Substitution, Oguzhan Özyakup , Deroy Duarte 
37,3,Fortuna,away, 63 ,Substitution, George Cox , Remy Vita 
38,3,Fortuna,away, 78 ,Substitution, Thomas Buitink , Inigo Cordoba 
39,3,AZ,home, 90 ,Substitution, Mees de Wit , Milos Kerkez 
40,3,AZ,home, 90 ,Substitution, Zico Buurmeester , Jordy Clasie 
41,4,Twente,home, 46 ,Goal, Václav Černý , Ramiz Zerrouki 
42,4,Utrecht,away, 50 ,Yellow card, Taylor Booth ,
43,4,Twente,home, 61 ,Substitution, Sem Steijn , Michel Vlap 
44,4,Twente,home, 62 ,Substitution, Alfons Sampsted , Joshua Brenet 
45,4,Twente,home, 64 ,Goal, Virgil Misidjan , Gijs Smal 
46,4,Utrecht,away, 70 ,Substitution, Naoki Maeda , Amin Younes 
47,4,Twente,home, 78 ,Substitution, Julio Pleguezuelo , Mees Hilgers 
48,4,Twente,home, 78 ,Substitution, Anass Salah-Eddine , Mathias Kjølø 
49,4,Twente,home, 80 ,Yellow card, Anass Salah-Eddine ,
50,4,Utrecht,away, 80 ,Substitution, Mark van der Maarel , Hidde ter Avest 
51,4,Utrecht,away, 81 ,Substitution, Anastasios Douvikas , Othmane Boussaid 
52,4,Twente,home, 89 ,Substitution, Daan Rots , Václav Černý 
53,5,Ajax,away, 8 ,Yellow card, Kenneth Taylor ,
54,5,Feyenoord,home, 24 ,Yellow card, Alireza Jahanbakhsh ,
55,5,Ajax,away, 24 ,Yellow card, Jurriën Timber ,
56,5,Feyenoord,home, 34 ,Goal, Igor Paixão , Quilindschy Hartman 
57,5,Ajax,away, 39 ,Yellow card, Edson Álvarez ,
58,5,Ajax,away, 45 ,Substitution, Steven Bergwijn , Francisco Conceição 
59,5,Feyenoord,home, 55 ,Yellow card, Orkun Kökcü ,
60,5,Feyenoord,home, 60 ,Yellow card, Marcus Pedersen ,
61,5,Ajax,away, 71 ,Goal, Davy Klaassen , Steven Bergwijn 
62,5,Feyenoord,home, 74 ,Substitution, Santiago Giménez , Danilo 
63,5,Feyenoord,home, 74 ,Substitution, Javairô Dilrosun , Igor Paixão 
64,5,Ajax,away, 74 ,Substitution, Brian Brobbey , Steven Berghuis 
65,5,Feyenoord,home, 79 ,Yellow card, Mats Wieffer ,
66,5,Ajax,away, 80 ,Yellow card, Davy Klaassen ,
67,5,Feyenoord,home, 81 ,Substitution, Oussama Idrissi , Alireza Jahanbakhsh 
68,5,Feyenoord,home, 81 ,Substitution, Quinten Timber , Sebastian Szymański 
69,5,Ajax,away, 92 ,Substitution, Owen Wijndal , Jurriën Timber 
70,6,Heerenveen,home, 5 ,Goal, Amin Sarr , Andries Noppert 
71,6,Groningen,away, 40 ,Goal, Florian Krüger , Ricardo Pepi 
72,6,Groningen,away, 45 ,Substitution, Tomás Suslov , Johan Hove 
73,6,Groningen,away, 63 ,Substitution, Aimar Sher , Luciano Valente 
74,6,Groningen,away, 66 ,Yellow card, Liam van Gelderen ,
75,6,Heerenveen,home, 70 ,Substitution, Sydney van Hooijdonk , Simon Olsson 
76,6,Groningen,away, 72 ,Yellow card, Mads Sørensen ,
77,6,Groningen,away, 76 ,Yellow card, Tomás Suslov ,
78,6,Groningen,away, 80 ,Substitution, Mike te Wierik , Thijmen Blokzijl 
79,6,Groningen,away, 80 ,Substitution, Damil Dankerlui , Liam van Gelderen 
80,6,Heerenveen,home, 81 ,Goal, Pelle van Amersfoort , Thom Haye 
81,6,Heerenveen,home, 82 ,Goal, Amin Sarr , Mats Köhlert 
82,6,Heerenveen,home, 88 ,Substitution, Tibor Halilović , Antoine Colassin 
83,6,Heerenveen,home, 93 ,Substitution, Timo Zaal , Anas Tahiri 
84,6,Heerenveen,home, 93 ,Substitution, Alex Timossi Andersson , Amin Sarr 
85,7,Sparta,away, 9 ,Goal, Tobias Lauritsen , Sven Mijnans 
86,7,Sparta,away, 18 ,Goal, Koki Saito , Sven Mijnans 
87,7,Cambuur,home, 45 ,Substitution, Roberts Uldriķis , Tom Boere 
88,7,Cambuur,home, 45 ,Substitution, Mitchel Paulissen , Jamie Jacobs 
89,7,Sparta,away, 51 ,Penalty, Vito van Crooy , Penalty 
90,7,Cambuur,home, 53 ,Yellow card, Doke Schmidt ,
91,7,Cambuur,home, 58 ,Substitution, Sai Van Wermeskerken , Doke Schmidt 
92,7,Sparta,away, 60 ,Substitution, Jeremy van Mullem , Koki Saito 
93,7,Cambuur,home, 74 ,Substitution, Milan Smit , Silvester van der Water 
94,7,Cambuur,home, 75 ,Substitution, Vincent Pichel , Mees Hoedemakers 
