event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Arsenal,home, 17 ,Goal, Kieran Tierney ,
2,1,Zürich,away, 32 ,Yellow card, Fidan Aliti ,
3,1,Zürich,away, 45 ,Substitution, Antonio Marchesano , Fabian Rohner 
4,1,Zürich,away, 49 ,Yellow card, Nikola Katić ,
5,1,Zürich,away, 62 ,Yellow card, Cheick Condé ,
6,1,Arsenal,home, 63 ,Substitution, Thomas Partey , Elneny Mohamed 
7,1,Arsenal,home, 63 ,Substitution, Bukayo Saka , Gabriel Jesus 
8,1,Arsenal,home, 73 ,Substitution, Martin Ødegaard , Fábio Vieira 
9,1,Arsenal,home, 73 ,Substitution, Takehiro Tomiyasu , Ben White 
10,1,Zürich,away, 77 ,Substitution, Marc Hornschuh , Ole Selnæs 
11,1,Zürich,away, 78 ,Substitution, Bohdan Viunnyk , Aiyegun Tosin 
12,1,Zürich,away, 82 ,Substitution, Bledian Krasniqi , Cheick Condé 
13,1,Arsenal,home, 88 ,Substitution, Cedric Soares , Takehiro Tomiyasu 
14,1,Zürich,away, 89 ,Substitution, Ivan Santini , Fidan Aliti 
15,1,Arsenal,home, 96 ,Yellow card, Gabriel ,
16,2,Bodø/Glimt,home, 32 ,Yellow card, Hugo Vetlesen ,
17,2,PSV,away, 35 ,Own goal, Alfons Sampsted , Own goal 
18,2,PSV,away, 45 ,Substitution, André Ramalho , Armando Obispo 
19,2,PSV,away, 45 ,Substitution, Anwar El Ghazi , Luuk de Jong 
20,2,PSV,away, 45 ,Substitution, Érick Gutiérrez , Joey Veerman 
21,2,Bodø/Glimt,home, 49 ,Yellow card, Japhet Sery Larsen ,
22,2,PSV,away, 52 ,Goal, Johan Bakayoko , Anwar El Ghazi 
23,2,PSV,away, 59 ,Yellow card, André Ramalho ,
24,2,PSV,away, 70 ,Substitution, Yorbe Vertessen , Noni Madueke 
25,2,Bodø/Glimt,home, 75 ,Substitution, Morten Konradsen , Japhet Sery Larsen 
26,2,Bodø/Glimt,home, 75 ,Substitution, Ulrik Saltnes , Hugo Vetlesen 
27,2,Bodø/Glimt,home, 75 ,Substitution, Nino Žugelj , Ola Solbakken 
28,2,Bodø/Glimt,home, 75 ,Substitution, Amahl Pellegrino , Joel Mvuka 
29,2,Bodø/Glimt,home, 83 ,Substitution, Lars Salvesen , Runar Espejord 
30,2,PSV,away, 91 ,Substitution, Emmanuel van de Blaak , Ki Hoever 
31,2,Bodø/Glimt,home, 93 ,Goal, Nino Žugelj , Ulrik Saltnes 
32,3,Braga,home, 36 ,Goal, Ricardo Horta ,
33,3,Braga,home, 45 ,Substitution, Álvaro Djaló , Abel Ruiz 
34,3,Braga,home, 48 ,Yellow card, Paulo Oliveira ,
35,3,Braga,home, 55 ,Goal, Álvaro Djaló ,
36,3,Malmö,away, 58 ,Yellow card, Matej Chaluš ,
37,3,Braga,home, 59 ,Substitution, Hernâni Infande , Rodrigo Gomes 
38,3,Braga,home, 60 ,Substitution, Uroš Račić , Ali Musrati 
39,3,Malmö,away, 61 ,Substitution, Isaac Thelin , Ola Toivonen 
40,3,Malmö,away, 62 ,Substitution, Patriot Sejdiu , Mohamed Turay 
41,3,Malmö,away, 74 ,Substitution, Sergio Peña , Erdal Rakip 
42,3,Braga,home, 74 ,Substitution, Diego Lainez , Ricardo Horta 
43,3,Malmö,away, 77 ,Goal, Patriot Sejdiu , Isaac Thelin 
44,3,Braga,home, 79 ,Substitution, Cristián Borja , Nuno Sequeira 
45,3,Braga,home, 96 ,Yellow card, Hernâni Infande ,
46,4,Fenerbahçe,away, 23 ,Goal, Arda Güler ,
47,4,Fenerbahçe,away, 47 ,Goal, Willian Arão , Arda Güler 
48,4,Dynamo Kyiv,home, 45 ,Substitution, Denys Garmash , Volodymyr Shepelev 
49,4,Dynamo Kyiv,home, 45 ,Substitution, Vladyslav Kabaev , Artem Besedin 
50,4,Dynamo Kyiv,home, 51 ,Yellow card, Denys Garmash ,
51,4,Dynamo Kyiv,home, 57 ,Yellow card, Illia Zabarnyi ,
52,4,Fenerbahçe,away, 63 ,Yellow card, Attila Szalai ,
53,4,Fenerbahçe,away, 64 ,Substitution, Emre Mor , Arda Güler 
54,4,Fenerbahçe,away, 64 ,Substitution, Joao Pedro Galvao , Michy Batshuayi 
55,4,Fenerbahçe,away, 64 ,Substitution, Irfan Kahveci , Enner Valencia 
56,4,Dynamo Kyiv,home, 68 ,Second yellow card, Illia Zabarnyi ,
57,4,Dynamo Kyiv,home, 70 ,Substitution, Olexandr Karavaev , Vitalii Buyalskyi 
58,4,Dynamo Kyiv,home, 70 ,Substitution, Oleksandr Syrota , Kostiantyn Vivcharenko 
59,4,Fenerbahçe,away, 73 ,Substitution, Miha Zajc , Willian Arão 
60,4,Fenerbahçe,away, 79 ,Substitution, Ezgjan Alioski , Lincoln 
61,4,Dynamo Kyiv,home, 86 ,Substitution, Samba Diallo , Viktor Tsygankov 
62,4,Fenerbahçe,away, 90 ,Yellow card, Emre Mor ,
63,4,Dynamo Kyiv,home, 93 ,Yellow card, Serhiy Sydorchuk ,
64,4,Fenerbahçe,away, 95 ,Yellow card, Irfan Kahveci ,
65,5,Ludogorets,away, 15 ,Yellow card, Cicinho ,
66,5,Ludogorets,away, 41 ,Goal, Rick , Cicinho 
67,5,Roma,home, 45 ,Substitution, Cristian Volpato , Mady Camara 
68,5,Roma,home, 45 ,Substitution, Bryan Cristante , Rick Karsdorp 
69,5,Roma,home, 45 ,Substitution, Nicolò Zaniolo , Andrea Belotti 
70,5,Roma,home, 49 ,Yellow card, Cristian Volpato ,
71,5,Roma,home, 56 ,Penalty, Lorenzo Pellegrini , Penalty 
72,5,Roma,home, 61 ,Substitution, Nicola Zalewski , Nemanja Matic 
73,5,Ludogorets,away, 62 ,Yellow card, Thiago ,
74,5,Ludogorets,away, 64 ,Yellow card, Anton Nedyalkov ,
75,5,Ludogorets,away, 64 ,Yellow card, Jakub Piotrowski ,
76,5,Roma,home, 65 ,Penalty, Lorenzo Pellegrini , Penalty 
77,5,Ludogorets,away, 71 ,Substitution, Kiril Despodov , Bernard Tekpetey 
78,5,Ludogorets,away, 71 ,Substitution, Nonato , Jakub Piotrowski 
79,5,Ludogorets,away, 71 ,Substitution, Matías Tissera , Thiago 
80,5,Ludogorets,away, 78 ,Disallowed goal,Disallowed goal,
81,5,Ludogorets,away, 79 ,Yellow card, Rick ,
82,5,Roma,home, 80 ,Substitution, Edoardo Bove , Cristian Volpato 
83,5,Roma,home, 85 ,Goal, Nicolò Zaniolo , Bryan Cristante 
84,5,Roma,home, 87 ,Yellow card, Nicolò Zaniolo ,
85,5,Ludogorets,away, 87 ,Substitution, Spas Delev , Aslak Witry 
86,5,Ludogorets,away, 87 ,Substitution, Danny Gruper , Cicinho 
87,5,Roma,home, 88 ,Yellow card, Matías Viña ,
88,5,Ludogorets,away, 90 ,Red card, Olivier Verdon ,
89,5,Ludogorets,away, 90 ,Yellow card, Nonato ,
90,6,Rennes,home, 17 ,Goal, Matthis Abline , Benjamin Bourigeaud 
91,6,Rennes,home, 18 ,Yellow card, Flavien Tait ,
92,6,AEK,away, 28 ,Yellow card, Hrvoje Miličević ,
93,6,Rennes,home, 56 ,Substitution, Jérémy Doku , Martin Terrier 
94,6,Rennes,home, 56 ,Substitution, Amine Gouiri , Matthis Abline 
95,6,Rennes,home, 63 ,Substitution, Désiré Doué , Benjamin Bourigeaud 
96,6,Rennes,home, 63 ,Substitution, Lesley Ugochukwu , Lovro Majer 
97,6,Rennes,home, 71 ,Substitution, Adrien Truffert , Arnaud Kalimuendo 
98,6,AEK,away, 74 ,Substitution, Rafael Lopes , Rafail Mamas 
99,6,AEK,away, 76 ,Goal, Rafael Lopes ,
100,6,AEK,away, 85 ,Yellow card, Roberto Rosales ,
101,6,AEK,away, 88 ,Substitution, Mikel Gonzalez , Luis Gustavo 
102,6,AEK,away, 88 ,Substitution, Nikos Englezou , Ádám Gyurcsó 
103,6,AEK,away, 92 ,Substitution, Henry Andreou , Victor Olatunji 
104,7,1. FC Union Berlin,away, 6 ,Goal, Sven Michel , Sheraldo Becker 
105,7,1. FC Union Berlin,away, 9 ,Yellow card, Sheraldo Becker ,
106,7,R. Union SG,home, 45 ,Substitution, Victor Boniface , Gustaf Nilsson 
107,7,1. FC Union Berlin,away, 45 ,Substitution, Lennart Grill , Frederik Rønnow 
108,7,1. FC Union Berlin,away, 48 ,Yellow card, Janik Haberer ,
109,7,1. FC Union Berlin,away, 62 ,Substitution, András Schäfer , Genki Haraguchi 
110,7,1. FC Union Berlin,away, 62 ,Substitution, Morten Thorsby , Janik Haberer 
111,7,1. FC Union Berlin,away, 62 ,Substitution, Kevin Behrens , Sven Michel 
112,7,R. Union SG,home, 64 ,Substitution, Oussama El Azzouzi , Lazare Amani 
113,7,R. Union SG,home, 64 ,Substitution, Dennis Eckert , Dante Vanzeir 
114,7,R. Union SG,home, 72 ,Substitution, Loïc Lapoussin , Ismaël Kandouss 
115,7,R. Union SG,home, 72 ,Substitution, Jose Rodriguez , Teddy Teuma 
116,7,R. Union SG,home, 78 ,Yellow card, Simon Adingra ,
117,7,R. Union SG,home, 79 ,Yellow card, Dennis Eckert ,
