event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Almería,away, 44 ,Missed penalty, Largie Ramazani , Missed penalty 
2,1,Valencia,home, 45 ,Yellow card, Edinson Cavani ,
3,1,Valencia,home, 48 ,Goal, Justin Kluivert , André Almeida 
4,1,Almería,away, 54 ,Goal, Chumi , Lucas Robertone 
5,1,Valencia,home, 65 ,Goal, José Gayà ,
6,1,Almería,away, 66 ,Substitution, Francisco Portillo , Houboulang Mendes 
7,1,Almería,away, 66 ,Substitution, Alejandro Pozo , Largie Ramazani 
8,1,Almería,away, 74 ,Goal, Francisco Portillo , El Touré 
9,1,Valencia,home, 76 ,Substitution, Hugo Duro , Toni Lato 
10,1,Valencia,home, 76 ,Substitution, Ilaix Moriba , André Almeida 
11,1,Almería,away, 76 ,Substitution, Luis Suárez , Leo Baptistao 
12,1,Almería,away, 76 ,Substitution, Adri Embarba , El Touré 
13,1,Almería,away, 80 ,Yellow card, Gonzalo Melero ,
14,1,Valencia,home, 83 ,Yellow card, André Almeida ,
15,1,Almería,away, 84 ,Substitution, Íñigo Eguaras , Gonzalo Melero 
16,1,Valencia,home, 88 ,Substitution, Samu Castillejo , Justin Kluivert 
17,1,Valencia,home, 88 ,Substitution, Marcos André , Edinson Cavani 
18,2,Real Madrid,away, 24 ,Goal, Karim Benzema , Marco Asensio 
19,2,Athletic Club,home, 50 ,Yellow card, Yuri Berchiche ,
20,2,Athletic Club,home, 58 ,Yellow card, Dani Vivian ,
21,2,Real Madrid,away, 62 ,Yellow card, Eduardo Camavinga ,
22,2,Athletic Club,home, 67 ,Substitution, Ander Herrera , Oier Zarraga 
23,2,Athletic Club,home, 67 ,Substitution, Gorka Guruzeta , Álex Berenguer 
24,2,Athletic Club,home, 67 ,Substitution, Iker Muniain , Oihan Sancet 
25,2,Real Madrid,away, 73 ,Substitution, Luka Modrić , Marco Asensio 
26,2,Athletic Club,home, 76 ,Substitution, Inigo Lekue , Oscar De Marcos 
27,2,Real Madrid,away, 79 ,Yellow card, Vinícius Júnior ,
28,2,Real Madrid,away, 83 ,Substitution, Rodrygo , Vinícius Júnior 
29,2,Real Madrid,away, 85 ,Substitution, Toni Kroos , Dani Ceballos 
30,2,Athletic Club,home, 86 ,Substitution, Raul Garcia , Mikel Vesga 
31,2,Athletic Club,home, 88 ,Yellow card, Ander Herrera ,
32,2,Real Madrid,away, 90 ,Goal, Toni Kroos , Rodrygo 
33,3,Barcelona,home, 35 ,Goal, Pedri , Raphinha 
34,3,Getafe,away, 44 ,Yellow card, Omar Alderete ,
35,3,Barcelona,home, 45 ,Substitution, Eric García , Andreas Christensen 
36,3,Barcelona,home, 45 ,Substitution, Jordi Alba , Alejandro Baldé 
37,3,Getafe,away, 62 ,Substitution, Gonzalo Villar , Ángel Algobia 
38,3,Barcelona,home, 62 ,Substitution, Franck Kessie , Raphinha 
39,3,Barcelona,home, 68 ,Yellow card, Ousmane Dembélé ,
40,3,Getafe,away, 77 ,Substitution, Portu , Borja Mayoral 
41,3,Barcelona,home, 77 ,Substitution, Marcos Alonso , Sergi Roberto 
42,3,Getafe,away, 82 ,Yellow card, Enes Ünal ,
43,3,Getafe,away, 84 ,Substitution, Juanmi Latasa , Enes Ünal 
44,3,Getafe,away, 84 ,Substitution, Gastón Álvarez , Juan Iglesias 
45,3,Getafe,away, 85 ,Substitution, Jaime Seoane , Luis Milla 
46,4,Elche,home, 13 ,Yellow card, José Ángel Carmona ,
47,4,Osasuna,away, 20 ,Goal, Ezequiel Ávila , Kike Barja 
48,4,Elche,home, 45 ,Yellow card, Lautaro Blanco ,
49,4,Osasuna,away, 55 ,Yellow card, Ezequiel Ávila ,
50,4,Osasuna,away, 57 ,Substitution, Aimar Oroz , Moi Gomez 
51,4,Osasuna,away, 65 ,Substitution, Ruben Garcia , Ezequiel Ávila 
52,4,Osasuna,away, 65 ,Substitution, Moncayola , Pablo Ibáñez 
53,4,Elche,home, 67 ,Goal, José Ángel Carmona , Fidel 
54,4,Elche,home, 68 ,Substitution, Carlos Clerc , Lautaro Blanco 
55,4,Elche,home, 69 ,Substitution, Ezequiel Ponce , Fidel 
56,4,Osasuna,away, 74 ,Substitution, Kike , Ante Budimir 
57,4,Osasuna,away, 74 ,Substitution, Abdessamad Ezzalzouli , Kike Barja 
58,4,Elche,home, 80 ,Substitution, Raúl Guti , Pere Milla 
59,4,Elche,home, 87 ,Substitution, Roger Marti , Lucas Boyé 
60,4,Elche,home, 87 ,Substitution, Tete Morente , José Ángel Carmona 
61,5,Girona,away, 3 ,Yellow card, Santiago Bueno ,
62,5,Villarreal,home, 18 ,Yellow card, Gerard Moreno ,
63,5,Villarreal,home, 25 ,Yellow card, Yeremy ,
64,5,Girona,away, 32 ,Yellow card, Miguel Gutiérrez ,
65,5,Villarreal,home, 37 ,Yellow card, Pau Torres ,
66,5,Girona,away, 39 ,Yellow card, Cristhian Stuani ,
67,5,Villarreal,home, 46 ,Yellow card, Álex Baena ,
68,5,Villarreal,home, 61 ,Substitution, Mamadou Fall , Jorge Cuenca 
69,5,Girona,away, 64 ,Substitution, Yangel Herrera , Iván Martín 
70,5,Girona,away, 64 ,Substitution, Valentín Castellanos , Cristhian Stuani 
71,5,Girona,away, 74 ,Substitution, Valery , Toni Villa 
72,5,Girona,away, 75 ,Substitution, Borja Garcia , Aleix Garcia 
73,5,Girona,away, 78 ,Second yellow card, Santiago Bueno ,
74,5,Villarreal,home, 81 ,Substitution, Manu Trigueros , Etienne Capoue 
75,5,Villarreal,home, 81 ,Substitution, Jose Luis Morales , Yeremy 
76,5,Girona,away, 81 ,Substitution, Juanpe , Miguel Gutiérrez 
77,5,Villarreal,home, 86 ,Substitution, Diego Collado , Samuel Chukwueze 
78,5,Villarreal,home, 86 ,Substitution, Alberto Moreno , Johan Mojica 
79,5,Villarreal,home, 93 ,Missed penalty, Gerard Moreno , Missed penalty 
80,5,Villarreal,home, 95 ,Yellow card, Alberto Moreno ,
81,5,Girona,away, 98 ,Yellow card, Juanpe ,
82,5,Villarreal,home, 100 ,Penalty, Dani Parejo , Penalty 
83,6,Sevilla,home, 33 ,Yellow card, Erik Lamela ,
84,6,Cádiz,away, 34 ,Yellow card, Alfonso Espino ,
85,6,Cádiz,away, 45 ,Yellow card, Ruben Sobrino ,
86,6,Sevilla,home, 47 ,Disallowed goal,Disallowed goal,
87,6,Cádiz,away, 70 ,Substitution, Youba Diarra , Brian Ocampo 
88,6,Cádiz,away, 70 ,Substitution, Ivan Alejo , Theo Bongonda 
89,6,Sevilla,home, 74 ,Substitution, Lucas Ocampos , Erik Lamela 
90,6,Sevilla,home, 74 ,Substitution, Gonzalo Montiel , Fernando 
91,6,Sevilla,home, 79 ,Substitution, Rafa Mir , Youssef En-Nesyri 
92,6,Sevilla,home, 79 ,Substitution, Suso , Oliver Torres 
93,6,Cádiz,away, 81 ,Substitution, Santiago Arzamendia , Ruben Sobrino 
94,6,Cádiz,away, 83 ,Yellow card, Ivan Alejo ,
95,6,Cádiz,away, 87 ,Second yellow card, Ivan Alejo ,
96,6,Sevilla,home, 89 ,Penalty, Ivan Rakitic , Penalty 
97,6,Cádiz,away, 89 ,Substitution, Alvaro Negredo , Ruben Alcaraz 
98,7,Atlético Madrid,home, 18 ,Goal, Álvaro Morata , Antoine Griezmann 
99,7,Atlético Madrid,home, 23 ,Goal, Antoine Griezmann , Nahuel Molina 
100,7,Atlético Madrid,home, 28 ,Goal, Mario Hermoso ,
