event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,PSG,away, 55 ,Substitution, Kylian Mbappé , Hugo Ekitike 
2,1,PSG,away, 56 ,Substitution, Achraf Hakimi , Nordi Mukiele 
3,1,Rennes,home, 65 ,Goal, Hamari Traore , Adrien Truffert 
4,1,Rennes,home, 68 ,Substitution, Jérémy Doku , Désiré Doué 
5,1,PSG,away, 72 ,Substitution, Carlos Soler , Warren Zaïre-Emery 
6,1,PSG,away, 72 ,Substitution, Fabian Ruiz , Vitinha 
7,1,Rennes,home, 75 ,Substitution, Lorenz Assignon , Arnaud Kalimuendo 
8,1,Rennes,home, 76 ,Substitution, Birger Meling , Adrien Truffert 
9,1,PSG,away, 83 ,Substitution, Renato Sanches , Danilo Pereira 
10,1,Rennes,home, 89 ,Substitution, Kamaldeen Sulemana , Amine Gouiri 
11,1,Rennes,home, 89 ,Substitution, Flavien Tait , Lovro Majer 
12,2,Monaco,home, 2 ,Goal, Axel Disasi ,
13,2,Monaco,home, 6 ,Goal, Krépin Diatta , Vanderson 
14,2,Ajaccio,away, 11 ,Goal, Youcef Belaïli , Cyrille Bayala 
15,2,Monaco,home, 20 ,Yellow card, Mohamed Camara ,
16,2,Monaco,home, 21 ,Goal, Wissam Ben Yedder ,
17,2,Monaco,home, 28 ,Goal, Wissam Ben Yedder , Aleksandr Golovin 
18,2,Ajaccio,away, 33 ,Yellow card, Ismaël Diallo ,
19,2,Monaco,home, 35 ,Penalty, Wissam Ben Yedder , Penalty 
20,2,Monaco,home, 45 ,Substitution, Eliot Matazo , Mohamed Camara 
21,2,Ajaccio,away, 45 ,Substitution, Cédric Avinel , Fernand Mayembo 
22,2,Ajaccio,away, 45 ,Substitution, Bevic Moussiti-Oko , Youcef Belaïli 
23,2,Ajaccio,away, 46 ,Yellow card, Thomas Mangani ,
24,2,Monaco,home, 61 ,Substitution, Breel Embolo , Eliesse Ben Seghir 
25,2,Monaco,home, 61 ,Substitution, Ismail Jakobs , Aleksandr Golovin 
26,2,Monaco,home, 63 ,Goal, Breel Embolo , Krépin Diatta 
27,2,Ajaccio,away, 64 ,Substitution, Jean Botué , Riad Nouri 
28,2,Ajaccio,away, 64 ,Substitution, Mickaël Alphonse , Ismaël Diallo 
29,2,Monaco,home, 71 ,Substitution, Malang Sarr , Axel Disasi 
30,2,Monaco,home, 71 ,Substitution, Myron Boadu , Wissam Ben Yedder 
31,2,Monaco,home, 89 ,Goal, Breel Embolo ,
32,3,Angers,home, 23 ,Substitution, Himad Abdelli , Farid El Melali 
33,3,Clermont,away, 40 ,Goal, Elbasan Rashani ,
34,3,Angers,home, 42 ,Yellow card, Pierrick Capelle ,
35,3,Clermont,away, 47 ,Goal, Neto Borges , Grejohn Kyei 
36,3,Angers,home, 59 ,Substitution, Azzedine Ounahi , Batista Mendy 
37,3,Angers,home, 60 ,Yellow card, Cedric Hountondji ,
38,3,Angers,home, 60 ,Substitution, Abdallah Sima , Adrien Hunou 
39,3,Angers,home, 69 ,Substitution, Lilian Rao-Lisoa , Pierrick Capelle 
40,3,Clermont,away, 73 ,Substitution, Muhammed Cham , Elbasan Rashani 
41,3,Clermont,away, 73 ,Substitution, Komnen Andrić , Grejohn Kyei 
42,3,Clermont,away, 79 ,Yellow card, Neto Borges ,
43,3,Angers,home, 80 ,Goal, Sofiane Boufal , Nabil Bentaleb 
44,3,Clermont,away, 83 ,Yellow card, Maximiliano Caufriez ,
45,3,Clermont,away, 87 ,Substitution, Mehdi Zeffane , Jim Allevinah 
46,3,Clermont,away, 87 ,Substitution, Yanis Massolin , Saifeddine Khaoui 
47,4,Nantes,away, 16 ,Substitution, Sebastien Corchia , Charles Traoré 
48,4,Montpellier,home, 42 ,Red card, Wahbi Khazri ,
49,4,Nantes,away, 56 ,Yellow card, Evann Guessand ,
50,4,Nantes,away, 58 ,Goal, Andrei Girotto ,
51,4,Nantes,away, 60 ,Substitution, Samuel Moutoussamy , Nathan Zeze 
52,4,Nantes,away, 60 ,Substitution, Mostafa Mohamed , Evann Guessand 
53,4,Montpellier,home, 64 ,Substitution, Joris Chotard , Léo Leroy 
54,4,Montpellier,home, 65 ,Substitution, Arnaud Nordin , Valere Germain 
55,4,Montpellier,home, 67 ,Yellow card, Elye Wahi ,
56,4,Montpellier,home, 67 ,Red card, Elye Wahi ,
57,4,Nantes,away, 69 ,Yellow card, Moses Simon ,
58,4,Montpellier,home, 78 ,Substitution, Nicolas Cozza , Faitout Maouassa 
59,4,Montpellier,home, 78 ,Substitution, Khalil Fayad , Jordan Ferri 
60,4,Nantes,away, 81 ,Goal, Mostafa Mohamed , Pedro Chirivella 
61,4,Nantes,away, 84 ,Goal, Ludovic Blas , Sebastien Corchia 
62,4,Nantes,away, 85 ,Substitution, Marcus Coco , Ludovic Blas 
63,4,Nantes,away, 85 ,Substitution, Lohann Doucet , Pedro Chirivella 
64,4,Montpellier,home, 86 ,Substitution, Falaye Sacko , Christopher Jullien 
65,5,Reims,home, 51 ,Yellow card, Jens Cajuste ,
66,5,Nice,away, 69 ,Substitution, Billal Brahimi , Sofiane Diop 
67,5,Nice,away, 69 ,Substitution, Ross Barkley , Aaron Ramsey 
68,5,Nice,away, 69 ,Substitution, Badredine Bouanani , Gaetan Laborde 
69,5,Reims,home, 70 ,Substitution, Arbër Zeneli , Mitchell van Bergen 
70,5,Reims,home, 81 ,Substitution, Dion Lopy , Marshall Munetsi 
71,5,Reims,home, 81 ,Substitution, Kamory Doumbia , Jens Cajuste 
72,5,Reims,home, 88 ,Substitution, Bradley Locko , Maxime Busi 
73,5,Nice,away, 92 ,Substitution, Antoine Mendy , Melvin Bard 
74,5,Nice,away, 95 ,Yellow card, Jordan Lotomba ,
75,6,Brest,away, 18 ,Goal, Steve Mounie , Hugo Magnetti 
76,6,Brest,away, 37 ,Yellow card, Lilian Brassier ,
77,6,Brest,away, 38 ,Yellow card, Pierre Lees-Melou ,
78,6,Toulouse,home, 42 ,Yellow card, Brecht Dejaegere ,
79,6,Toulouse,home, 55 ,Substitution, Thijs Dallinga , Ado Onaiwu 
80,6,Toulouse,home, 55 ,Substitution, Farès Chaïbi , Rafael Ratão 
81,6,Toulouse,home, 57 ,Yellow card, Anthony Rouault ,
82,6,Toulouse,home, 65 ,Goal, Zakaria Aboukhlal ,
83,6,Brest,away, 70 ,Substitution, Kenny Lala , Noah Fadiga 
84,6,Brest,away, 70 ,Substitution, Islam Slimani , Steve Mounie 
85,6,Toulouse,home, 70 ,Substitution, Veljko Birmančević , Zakaria Aboukhlal 
86,6,Toulouse,home, 80 ,Substitution, Naatan Skyttä , Brecht Dejaegere 
87,6,Brest,away, 83 ,Substitution, Axel Camblan , Jérémy Le Douaron 
88,6,Brest,away, 83 ,Substitution, Haris Belkebla , Mahdi Camara 
89,7,Lille,home, 8 ,Substitution, Edon Zhegrova , Adam Ounas 
90,7,Lille,home, 16 ,Goal, Mohamed Bayo , Angel Gomes 
91,7,Lille,home, 23 ,Yellow card, Carlos Baleba ,
92,7,Lille,home, 47 ,Goal, Jonathan David ,
93,7,Lille,home, 47 ,Goal, Mohamed Bayo ,
94,7,Troyes,away, 64 ,Substitution, Wilson Odobert , Andreas Bruus 
95,7,Troyes,away, 65 ,Goal, Mama Baldé , Abdu Conté 
96,7,Lille,home, 66 ,Substitution, Remy Cabella , Carlos Baleba 
97,7,Lille,home, 67 ,Substitution, Alan Virginius , Mohamed Bayo 
98,7,Lille,home, 75 ,Goal, Alan Virginius ,
