event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Fulham,home, 16 ,Yellow card, João Palhinha ,
2,1,Tottenham,away, 28 ,Yellow card, Son Heung-min ,
3,1,Tottenham,away, 46 ,Goal, Harry Kane , Son Heung-min 
4,1,Fulham,home, 65 ,Substitution, Thomas Cairney , Harrison Reed 
5,1,Tottenham,away, 70 ,Yellow card, Cristian Romero ,
6,1,Tottenham,away, 76 ,Substitution, Richarlison , Son Heung-min 
7,1,Tottenham,away, 78 ,Yellow card, Rodrigo Bentancur ,
8,1,Fulham,home, 80 ,Substitution, Manor Solomon , Kenny Tete 
9,1,Fulham,home, 87 ,Substitution, Carlos Vinícius , Willian 
10,1,Fulham,home, 87 ,Substitution, Harry Wilson , Bobby Decordova-Reid 
11,1,Tottenham,away, 91 ,Substitution, Yves Bissouma , Dejan Kulusevski 
12,2,Manchester United,away, 17 ,Goal, Marcus Rashford , Bruno Fernandes 
13,2,Arsenal,home, 19 ,Yellow card, Ben White ,
14,2,Arsenal,home, 24 ,Goal, Edward Nketiah , Granit Xhaka 
15,2,Arsenal,home, 45 ,Substitution, Takehiro Tomiyasu , Ben White 
16,2,Manchester United,away, 47 ,Yellow card, Antony ,
17,2,Arsenal,home, 53 ,Goal, Bukayo Saka , Takehiro Tomiyasu 
18,2,Manchester United,away, 59 ,Goal, Lisandro Martínez ,
19,2,Manchester United,away, 71 ,Substitution, Fred , Antony 
20,2,Arsenal,home, 82 ,Substitution, Leandro Trossard , Gabriel Martinelli 
21,2,Manchester United,away, 83 ,Yellow card, Luke Shaw ,
22,2,Arsenal,home, 90 ,Goal, Edward Nketiah ,
23,2,Manchester United,away, 92 ,Substitution, Alejandro Garnacho , Raphaël Varane 
24,2,Arsenal,home, 93 ,Substitution, Rob Holding , Martin Ødegaard 
25,3,Wolves,away, 10 ,Yellow card, Maximilian Kilman ,
26,3,Wolves,away, 13 ,Yellow card, Mario Lemina ,
27,3,Manchester City,home, 25 ,Yellow card, Rodri ,
28,3,Manchester City,home, 40 ,Goal, Erling Haaland , Kevin De Bruyne 
29,3,Manchester City,home, 45 ,Substitution, Nathan Aké , Rico Lewis 
30,3,Wolves,away, 45 ,Substitution, Joao Moutinho , Hwang Hee-chan 
31,3,Wolves,away, 45 ,Substitution, Pablo Sarabia , Adama Traore 
32,3,Wolves,away, 45 ,Substitution, Matheus Cunha , Raúl Jiménez 
33,3,Manchester City,home, 50 ,Penalty, Erling Haaland , Penalty 
34,3,Manchester City,home, 54 ,Goal, Erling Haaland , Riyad Mahrez 
35,3,Manchester City,home, 61 ,Substitution, Julián Álvarez , Erling Haaland 
36,3,Wolves,away, 67 ,Substitution, Daniel Podence , Mario Lemina 
37,3,Manchester City,home, 77 ,Substitution, Bernardo Silva , Kevin De Bruyne 
38,3,Manchester City,home, 77 ,Substitution, Kalvin Phillips , Rodri 
39,3,Manchester City,home, 81 ,Substitution, Cole Palmer , Riyad Mahrez 
40,3,Wolves,away, 81 ,Substitution, Rayan Aït Nouri , Hugo Bueno 
41,4,Brentford,away, 60 ,Substitution, Vitaly Janelt , Josh Dasilva 
42,4,Leeds,home, 64 ,Yellow card, Rodrigo Moreno ,
43,4,Leeds,home, 70 ,Substitution, Luis Sinisterra , Brenden Aaronson 
44,4,Brentford,away, 71 ,Yellow card, Ivan Toney ,
45,4,Brentford,away, 74 ,Substitution, Yoane Wissa , Bryan Mbeumo 
46,4,Leeds,home, 79 ,Substitution, Patrick Bamford , Rodrigo Moreno 
47,4,Leeds,home, 83 ,Yellow card, Robin Koch ,
48,4,Leeds,home, 87 ,Substitution, Sam Greenwood , Marc Roca 
49,4,Brentford,away, 88 ,Yellow card, Yoane Wissa ,
50,5,Crystal Palace,home, 4 ,Yellow card, Marc Guéhi ,
51,5,Newcastle United,away, 57 ,Yellow card, Kieran Trippier ,
52,5,Crystal Palace,home, 65 ,Substitution, Michael Olise , Eberechi Eze 
53,5,Crystal Palace,home, 65 ,Substitution, Jean Mateta , Wilfried Zaha 
54,5,Crystal Palace,home, 65 ,Substitution, Will Hughes , Jeffrey Schlupp 
55,5,Newcastle United,away, 69 ,Substitution, Alexander Isak , Callum Wilson 
