event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Lazio,home, 4 ,Goal, Sergej Milinković-Savić , Mattia Zaccagni 
2,1,Milan,away, 24 ,Substitution, Simon Kjær , Fikayo Tomori 
3,1,Milan,away, 26 ,Yellow card, Ismaël Bennacer ,
4,1,Lazio,home, 33 ,Yellow card, Sergej Milinković-Savić ,
5,1,Lazio,home, 38 ,Goal, Mattia Zaccagni ,
6,1,Milan,away, 54 ,Yellow card, Simon Kjær ,
7,1,Milan,away, 58 ,Substitution, Alexis Saelemaekers , Junior Messias 
8,1,Milan,away, 59 ,Substitution, Charles De Ketelaere , Brahim Diaz 
9,1,Milan,away, 59 ,Substitution, Divock Origi , Olivier Giroud 
10,1,Lazio,home, 67 ,Penalty, Luis Alberto , Penalty 
11,1,Lazio,home, 75 ,Goal, Felipe Anderson , Luis Alberto 
12,1,Lazio,home, 78 ,Substitution, Manuel Lazzari , Adam Marušić 
13,1,Lazio,home, 78 ,Substitution, Luka Romero , Pedro 
14,1,Milan,away, 79 ,Substitution, Ante Rebic , Rafael Leão 
15,1,Lazio,home, 83 ,Substitution, Toma Bašić , Sergej Milinković-Savić 
16,1,Lazio,home, 87 ,Substitution, Marcos Antônio , Danilo Cataldi 
17,2,Inter,home, 25 ,Yellow card, Milan Skriniar ,
18,2,Empoli,away, 30 ,Yellow card, Liam Henderson ,
19,2,Empoli,away, 31 ,Yellow card, Jean Akpa ,
20,2,Inter,home, 40 ,Second yellow card, Milan Skriniar ,
21,2,Empoli,away, 46 ,Yellow card, Fabiano Parisi ,
22,2,Empoli,away, 45 ,Substitution, Nicolas Haas , Jean Akpa 
23,2,Inter,home, 45 ,Substitution, Raoul Bellanova , Joaquín Correa 
24,2,Empoli,away, 64 ,Substitution, Tommaso Baldanzi , Nicolò Cambiaghi 
25,2,Empoli,away, 66 ,Goal, Tommaso Baldanzi , Nedim Bajrami 
26,2,Inter,home, 68 ,Yellow card, Nicolo Barella ,
27,2,Inter,home, 71 ,Substitution, Edin Dzeko , Matteo Darmian 
28,2,Inter,home, 71 ,Substitution, Robin Gosens , Federico Dimarco 
29,2,Inter,home, 71 ,Substitution, Kristjan Asllani , Nicolo Barella 
30,2,Empoli,away, 73 ,Substitution, Martín Satriano , Liam Henderson 
31,2,Empoli,away, 74 ,Substitution, Jacopo Fazzini , Nedim Bajrami 
32,2,Inter,home, 76 ,Substitution, Romelu Lukaku , Henrikh Mkhitaryan 
33,2,Inter,home, 89 ,Yellow card, Edin Dzeko ,
34,2,Empoli,away, 90 ,Substitution, Sebastian Walukiewicz , Francesco Caputo 
35,3,Cremonese,away, 24 ,Yellow card, Vlad Chiriches ,
36,3,Bologna,home, 45 ,Substitution, Joshua Zirkzee , Musa Barrow 
37,3,Cremonese,away, 50 ,Penalty, David Okereke , Penalty 
38,3,Bologna,home, 54 ,Own goal, Vlad Chiriches , Own goal 
39,3,Cremonese,away, 60 ,Substitution, Felix Afena-Gyan , Daniel Ciofani 
40,3,Cremonese,away, 61 ,Substitution, Marco Benassi , Michele Castagnetti 
41,3,Bologna,home, 67 ,Yellow card, Adama Soumaoro ,
42,3,Cremonese,away, 70 ,Substitution, Cristian Buonaiuto , Emanuele Valeri 
43,3,Bologna,home, 79 ,Substitution, Andrea Cambiaso , Charalampos Lykogiannis 
44,3,Bologna,home, 79 ,Substitution, Jerdy Schouten , Nicolás Domínguez 
45,3,Bologna,home, 82 ,Yellow card, Łukasz Skorupski ,
46,3,Cremonese,away, 84 ,Yellow card, Charles Pickel ,
47,3,Cremonese,away, 86 ,Yellow card, Johan Vásquez ,
48,3,Cremonese,away, 87 ,Yellow card, Marco Carnesecchi ,
49,3,Cremonese,away, 90 ,Substitution, Frank Tsadjout , David Okereke 
50,3,Cremonese,away, 90 ,Yellow card, Cristian Buonaiuto ,
51,4,Atalanta,away, 4 ,Goal, Ademola Lookman , Jérémie Boga 
52,4,Atalanta,away, 15 ,Substitution, Merih Demiral , José Palomino 
53,4,Juventus,home, 25 ,Penalty, Ángel Di María , Penalty 
54,4,Juventus,home, 34 ,Goal, Arek Milik , Nicolò Fagioli 
55,4,Atalanta,away, 46 ,Goal, Joakim Mæhle , Ademola Lookman 
56,4,Atalanta,away, 49 ,Yellow card, Éderson ,
57,4,Atalanta,away, 53 ,Goal, Ademola Lookman , Jérémie Boga 
58,4,Juventus,home, 61 ,Substitution, Federico Chiesa , Filip Kostić 
59,4,Juventus,home, 65 ,Goal, Danilo , Ángel Di María 
60,4,Atalanta,away, 66 ,Substitution, Mario Pašalić , Jérémie Boga 
61,4,Juventus,home, 74 ,Substitution, Fabio Miretti , Ángel Di María 
62,4,Juventus,home, 74 ,Substitution, Moise Kean , Arek Milik 
63,4,Juventus,home, 81 ,Substitution, Juan Cuadrado , Nicolò Fagioli 
64,4,Atalanta,away, 83 ,Substitution, Luis Muriel , Rasmus Højlund 
65,4,Atalanta,away, 83 ,Substitution, Berat Djimsiti , Éderson 
66,4,Atalanta,away, 84 ,Substitution, Matteo Ruggeri , Joakim Mæhle 
67,4,Juventus,home, 93 ,Yellow card, Federico Chiesa ,
68,4,Atalanta,away, 93 ,Yellow card, Hans Hateboer ,
69,5,Spezia,home, 13 ,Substitution, Salvador Ferrer , Emil Holm 
70,5,Spezia,home, 36 ,Yellow card, Mehdi Bourabia ,
