match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 18,24/01/2023,False,False,False,Sparta,Waalwijk,0,0,0.63,0.37,9, 12 ,4, 3 ,0.53,0.47,0.8,0.06,0.14,2064,Sparta-Stadion Het Kasteel,"[{'player_name': ' Saito ', 'player_number': ' 11'}, {'player_name': ' Lauritsen ', 'player_number': ' 9'}, {'player_name': ' van Crooy ', 'player_number': ' 7'}, {'player_name': ' Verschueren ', 'player_number': ' 8'}, {'player_name': ' Kitolano ', 'player_number': ' 6'}, {'player_name': ' Mijnans ', 'player_number': ' 10'}, {'player_name': ' Pinto ', 'player_number': ' 5'}, {'player_name': ' Auassar ', 'player_number': ' 4'}, {'player_name': ' Vriends ', 'player_number': ' 3'}, {'player_name': ' Sambo ', 'player_number': ' 2'}, {'player_name': ' Olij ', 'player_number': ' 1'}]","[{'player_name': ' Seuntjens ', 'player_number': ' 20'}, {'player_name': ' Bel Hassani ', 'player_number': ' 11'}, {'player_name': ' Lutonda ', 'player_number': ' 5'}, {'player_name': ' Oukili ', 'player_number': ' 33'}, {'player_name': ' Anita ', 'player_number': ' 6'}, {'player_name': ' Clement ', 'player_number': ' 14'}, {'player_name': ' Lelieveld ', 'player_number': ' 2'}, {'player_name': ' Van Den Buijs ', 'player_number': ' 24'}, {'player_name': ' Adewoye ', 'player_number': ' 4'}, {'player_name': ' Gaari ', 'player_number': ' 23'}, {'player_name': ' Vaessen ', 'player_number': ' 1'}]","['Saito', 'Lauritsen', 'van Crooy', 'Verschueren', 'Kitolano', 'Mijnans', 'Pinto', 'Auassar', 'Vriends', 'Sambo', 'Olij']","['11', '9', '7', '8', '6', '10', '5', '4', '3', '2', '1']","['Seuntjens', 'Bel Hassani', 'Lutonda', 'Oukili', 'Anita', 'Clement', 'Lelieveld', 'Van Den Buijs', 'Adewoye', 'Gaari', 'Vaessen']","['20', '11', '5', '33', '6', '14', '2', '24', '4', '23', '1']"
2,Matchday 18,24/01/2023,False,False,False,Emmen,PSV,1,0,0.52,0.48,11, 11 ,2, 4 ,0.5,0.5,0.1,0.03,0.87,7295,De Oude Meerdijk,"[{'player_name': ' Zivkovic ', 'player_number': ' 9'}, {'player_name': ' Diemers ', 'player_number': ' 10'}, {'player_name': ' Monteiro Mendes ', 'player_number': ' 7'}, {'player_name': ' Dirksen ', 'player_number': ' 24'}, {'player_name': ' El Messaoudi ', 'player_number': ' 23'}, {'player_name': ' Bernadou ', 'player_number': ' 8'}, {'player_name': ' Bouchouari ', 'player_number': ' 34'}, {'player_name': ' Veendorp ', 'player_number': ' 2'}, {'player_name': ' Veldmate ', 'player_number': ' 4'}, {'player_name': ' Araujo ', 'player_number': ' 5'}, {'player_name': ' van der Hart ', 'player_number': ' 32'}]","[{'player_name': ' Simons ', 'player_number': ' 7'}, {'player_name': ' El Ghazi ', 'player_number': ' 21'}, {'player_name': ' Bakayoko ', 'player_number': ' 27'}, {'player_name': ' Gutiérrez ', 'player_number': ' 15'}, {'player_name': ' Sangaré ', 'player_number': ' 6'}, {'player_name': ' Til ', 'player_number': ' 20'}, {'player_name': ' Ferreira dos Santos ', 'player_number': ' 17'}, {'player_name': ' Obispo ', 'player_number': ' 4'}, {'player_name': ' Branthwaite ', 'player_number': ' 22'}, {'player_name': ' Teze ', 'player_number': ' 3'}, {'player_name': ' Benítez ', 'player_number': ' 1'}]","['Zivkovic', 'Diemers', 'Monteiro Mendes', 'Dirksen', 'El Messaoudi', 'Bernadou', 'Bouchouari', 'Veendorp', 'Veldmate', 'Araujo', 'van der Hart']","['9', '10', '7', '24', '23', '8', '34', '2', '4', '5', '32']","['Simons', 'El Ghazi', 'Bakayoko', 'Gutiérrez', 'Sangaré', 'Til', 'Ferreira dos Santos', 'Obispo', 'Branthwaite', 'Teze', 'Benítez']","['7', '21', '27', '15', '6', '20', '17', '4', '22', '3', '1']"
3,Matchday 17,22/01/2023,False,False,False,AZ,Fortuna,3,1,0.51,0.49,16, 8 ,5, 1 ,0.47,0.53,0.8,0.05,0.15,2327,AFAS Stadion,"[{'player_name': ' Pavlidis ', 'player_number': ' 9'}, {'player_name': ' Karlsson ', 'player_number': ' 11'}, {'player_name': ' de Wit ', 'player_number': ' 10'}, {'player_name': ' Odgaard ', 'player_number': ' 7'}, {'player_name': ' Clasie ', 'player_number': ' 8'}, {'player_name': ' Reijnders ', 'player_number': ' 6'}, {'player_name': ' Kerkez ', 'player_number': ' 5'}, {'player_name': ' Hatzidiakos ', 'player_number': ' 3'}, {'player_name': ' Vanheusden ', 'player_number': ' 27'}, {'player_name': ' Sugawara ', 'player_number': ' 2'}, {'player_name': ' Ryan ', 'player_number': ' 1'}]","[{'player_name': ' Yilmaz ', 'player_number': ' 17'}, {'player_name': ' Cordoba ', 'player_number': ' 7'}, {'player_name': ' Vita ', 'player_number': ' 61'}, {'player_name': ' Ferati ', 'player_number': ' 19'}, {'player_name': ' Duarte ', 'player_number': ' 6'}, {'player_name': ' Noslin ', 'player_number': ' 77'}, {'player_name': ' Ximo ', 'player_number': ' 2'}, {'player_name': ' Guth ', 'player_number': ' 14'}, {'player_name': ' Radic ', 'player_number': ' 55'}, {'player_name': ' Ferreira Mendonça Pinto ', 'player_number': ' 12'}, {'player_name': ' Pandur ', 'player_number': ' 31'}]","['Pavlidis', 'Karlsson', 'de Wit', 'Odgaard', 'Clasie', 'Reijnders', 'Kerkez', 'Hatzidiakos', 'Vanheusden', 'Sugawara', 'Ryan']","['9', '11', '10', '7', '8', '6', '5', '3', '27', '2', '1']","['Yilmaz', 'Cordoba', 'Vita', 'Ferati', 'Duarte', 'Noslin', 'Ximo', 'Guth', 'Radic', 'Ferreira Mendonça Pinto', 'Pandur']","['17', '7', '61', '19', '6', '77', '2', '14', '55', '12', '31']"
4,Matchday 17,22/01/2023,False,False,False,Twente,Utrecht,2,0,0.59,0.41,15, 7 ,6, 1 ,0.5,0.5,0.69,0.06,0.25,1997,De Grolsch Veste,"[{'player_name': ' Misidjan ', 'player_number': ' 10'}, {'player_name': ' van Wolfswinkel ', 'player_number': ' 9'}, {'player_name': ' Cerny ', 'player_number': ' 7'}, {'player_name': ' Kjølø ', 'player_number': ' 21'}, {'player_name': ' Vlap ', 'player_number': ' 18'}, {'player_name': ' Zerrouki ', 'player_number': ' 8'}, {'player_name': ' Smal ', 'player_number': ' 5'}, {'player_name': ' Pröpper ', 'player_number': ' 3'}, {'player_name': ' Hilgers ', 'player_number': ' 2'}, {'player_name': ' Brenet ', 'player_number': ' 20'}, {'player_name': ' Unnerstall ', 'player_number': ' 1'}]","[{'player_name': ' Younes ', 'player_number': ' 11'}, {'player_name': ' Dost ', 'player_number': ' 28'}, {'player_name': ' Boussaid ', 'player_number': ' 26'}, {'player_name': ' Booth ', 'player_number': ' 10'}, {'player_name': ' Brouwers ', 'player_number': ' 8'}, {'player_name': ' Bozdogan ', 'player_number': ' 6'}, {'player_name': ' Viergever ', 'player_number': ' 24'}, {'player_name': ' Sagnan ', 'player_number': ' 27'}, {'player_name': ' Van der Hoorn ', 'player_number': ' 33'}, {'player_name': ' ter Avest ', 'player_number': ' 5'}, {'player_name': ' Barkas ', 'player_number': ' 1'}]","['Misidjan', 'van Wolfswinkel', 'Cerny', 'Kjølø', 'Vlap', 'Zerrouki', 'Smal', 'Pröpper', 'Hilgers', 'Brenet', 'Unnerstall']","['10', '9', '7', '21', '18', '8', '5', '3', '2', '20', '1']","['Younes', 'Dost', 'Boussaid', 'Booth', 'Brouwers', 'Bozdogan', 'Viergever', 'Sagnan', 'Van der Hoorn', 'ter Avest', 'Barkas']","['11', '28', '26', '10', '8', '6', '24', '27', '33', '5', '1']"
5,Matchday 17,22/01/2023,False,False,False,Feyenoord,Ajax,1,1,0.43,0.57,11, 11 ,4, 3 ,0.47,0.53,0.36,0.05,0.59,20228,De Kuip,"[{'player_name': ' Pereira da Silva ', 'player_number': ' 9'}, {'player_name': ' Barbosa da Paixão ', 'player_number': ' 14'}, {'player_name': ' Szymański ', 'player_number': ' 17'}, {'player_name': ' Jahanbakhsh ', 'player_number': ' 7'}, {'player_name': ' Kökcü ', 'player_number': ' 10'}, {'player_name': ' Wieffer ', 'player_number': ' 20'}, {'player_name': ' Hartman ', 'player_number': ' 19'}, {'player_name': ' Hancko ', 'player_number': ' 33'}, {'player_name': ' Geertruida ', 'player_number': ' 4'}, {'player_name': ' Pedersen ', 'player_number': ' 2'}, {'player_name': ' Bijlow ', 'player_number': ' 1'}]","[{'player_name': ' Tadić ', 'player_number': ' 10'}, {'player_name': ' Kudus ', 'player_number': ' 20'}, {'player_name': ' Fernandes da Conceição ', 'player_number': ' 35'}, {'player_name': ' Berghuis ', 'player_number': ' 23'}, {'player_name': ' Klaassen ', 'player_number': ' 6'}, {'player_name': ' Taylor ', 'player_number': ' 8'}, {'player_name': ' Bassey ', 'player_number': ' 3'}, {'player_name': ' Timber ', 'player_number': ' 2'}, {'player_name': ' Álvarez ', 'player_number': ' 4'}, {'player_name': ' Sánchez ', 'player_number': ' 19'}, {'player_name': ' Rulli ', 'player_number': ' 12'}]","['Pereira da Silva', 'Barbosa da Paixão', 'Szymański', 'Jahanbakhsh', 'Kökcü', 'Wieffer', 'Hartman', 'Hancko', 'Geertruida', 'Pedersen', 'Bijlow']","['9', '14', '17', '7', '10', '20', '19', '33', '4', '2', '1']","['Tadić', 'Kudus', 'Fernandes da Conceição', 'Berghuis', 'Klaassen', 'Taylor', 'Bassey', 'Timber', 'Álvarez', 'Sánchez', 'Rulli']","['10', '20', '35', '23', '6', '8', '3', '2', '4', '19', '12']"
6,Matchday 17,22/01/2023,False,False,False,Heerenveen,Groningen,3,1,0.56,0.44,18, 10 ,9, 3 ,0.52,0.48,0.63,0.05,0.32,1753,Abe Lenstra Stadion,"[{'player_name': ' Sarr ', 'player_number': ' 9'}, {'player_name': ' Colassin ', 'player_number': ' 29'}, {'player_name': ' van Amersfoort ', 'player_number': ' 11'}, {'player_name': ' Olsson ', 'player_number': ' 19'}, {'player_name': ' Tahiri ', 'player_number': ' 26'}, {'player_name': ' Haye ', 'player_number': ' 33'}, {'player_name': ' Köhlert ', 'player_number': ' 7'}, {'player_name': ' van Aken ', 'player_number': ' 3'}, {'player_name': ' Bochniewicz ', 'player_number': ' 5'}, {'player_name': ' van Ewijk ', 'player_number': ' 27'}, {'player_name': ' Noppert ', 'player_number': ' 44'}]","[{'player_name': ' Krüger ', 'player_number': ' 23'}, {'player_name': ' Pepi ', 'player_number': ' 9'}, {'player_name': ' Valente ', 'player_number': ' 40'}, {'player_name': ' Määttä ', 'player_number': ' 18'}, {'player_name': ' Hove ', 'player_number': ' 8'}, {'player_name': ' Oratmangoen ', 'player_number': ' 34'}, {'player_name': ' van Gelderen ', 'player_number': ' 19'}, {'player_name': ' Balker ', 'player_number': ' 12'}, {'player_name': ' Blokzijl ', 'player_number': ' 42'}, {'player_name': ' Bech Sørensen ', 'player_number': ' 29'}, {'player_name': ' Verrips ', 'player_number': ' 20'}]","['Sarr', 'Colassin', 'van Amersfoort', 'Olsson', 'Tahiri', 'Haye', 'Köhlert', 'van Aken', 'Bochniewicz', 'van Ewijk', 'Noppert']","['9', '29', '11', '19', '26', '33', '7', '3', '5', '27', '44']","['Krüger', 'Pepi', 'Valente', 'Määttä', 'Hove', 'Oratmangoen', 'van Gelderen', 'Balker', 'Blokzijl', 'Bech Sørensen', 'Verrips']","['23', '9', '40', '18', '8', '34', '19', '12', '42', '29', '20']"
7,Matchday 17,21/01/2023,False,False,False,Cambuur,Sparta,0,3,0.49,0.51,14, 12 ,3, 6 ,0.33,0.67,0.23,0.06,0.71,1097,Cambuur Stadion,"[{'player_name': ' Boere ', 'player_number': ' 9'}, {'player_name': ' Breij ', 'player_number': ' 14'}, {'player_name': ' van Kaam ', 'player_number': ' 21'}, {'player_name': ' van der Water ', 'player_number': ' 11'}, {'player_name': ' Jacobs ', 'player_number': ' 8'}, {'player_name': ' Hoedemakers ', 'player_number': ' 6'}, {'player_name': ' Bangura ', 'player_number': ' 16'}, {'player_name': ' Smand ', 'player_number': ' 33'}, {'player_name': ' Bergsma ', 'player_number': ' 4'}, {'player_name': ' Schmidt ', 'player_number': ' 5'}, {'player_name': ' Virginia ', 'player_number': ' 1'}]","[{'player_name': ' Saito ', 'player_number': ' 11'}, {'player_name': ' Lauritsen ', 'player_number': ' 9'}, {'player_name': ' van Crooy ', 'player_number': ' 7'}, {'player_name': ' Kitolano ', 'player_number': ' 6'}, {'player_name': ' Verschueren ', 'player_number': ' 8'}, {'player_name': ' Mijnans ', 'player_number': ' 10'}, {'player_name': ' Pinto ', 'player_number': ' 5'}, {'player_name': ' Auassar ', 'player_number': ' 4'}, {'player_name': ' Vriends ', 'player_number': ' 3'}, {'player_name': ' Sambo ', 'player_number': ' 2'}, {'player_name': ' Olij ', 'player_number': ' 1'}]","['Boere', 'Breij', 'van Kaam', 'van der Water', 'Jacobs', 'Hoedemakers', 'Bangura', 'Smand', 'Bergsma', 'Schmidt', 'Virginia']","['9', '14', '21', '11', '8', '6', '16', '33', '4', '5', '1']","['Saito', 'Lauritsen', 'van Crooy', 'Kitolano', 'Verschueren', 'Mijnans', 'Pinto', 'Auassar', 'Vriends', 'Sambo', 'Olij']","['11', '9', '7', '6', '8', '10', '5', '4', '3', '2', '1']"
8,Matchday 17,21/01/2023,False,False,False,PSV,Vitesse,1,0,0.56,0.44,15, 12 ,5, 4 ,0.56,0.44,0.87,0.03,0.1,5069,Philips Stadion,"[{'player_name': ' De Jong ', 'player_number': ' 9'}, {'player_name': ' El Ghazi ', 'player_number': ' 21'}, {'player_name': ' Til ', 'player_number': ' 20'}, {'player_name': ' Simons ', 'player_number': ' 7'}, {'player_name': ' Gutiérrez ', 'player_number': ' 15'}, {'player_name': ' Sangaré ', 'player_number': ' 6'}, {'player_name': ' Mwene ', 'player_number': ' 29'}, {'player_name': ' Obispo ', 'player_number': ' 4'}, {'player_name': ' Branthwaite ', 'player_number': ' 22'}, {'player_name': ' Teze ', 'player_number': ' 3'}, {'player_name': ' Benítez ', 'player_number': ' 1'}]","[{'player_name': ' Sankoh ', 'player_number': ' 9'}, {'player_name': ' Wittek ', 'player_number': ' 32'}, {'player_name': ' Bero ', 'player_number': ' 21'}, {'player_name': ' Manhoef ', 'player_number': ' 42'}, {'player_name': ' Cornelisse ', 'player_number': ' 13'}, {'player_name': ' Trondstad ', 'player_number': ' 8'}, {'player_name': ' Dijks ', 'player_number': ' 35'}, {'player_name': ' Meulensteen ', 'player_number': ' 20'}, {'player_name': ' Flamingo ', 'player_number': ' 3'}, {'player_name': ' Arcus ', 'player_number': ' 2'}, {'player_name': ' Scherpen ', 'player_number': ' 16'}]","['De Jong', 'El Ghazi', 'Til', 'Simons', 'Gutiérrez', 'Sangaré', 'Mwene', 'Obispo', 'Branthwaite', 'Teze', 'Benítez']","['9', '21', '20', '7', '15', '6', '29', '4', '22', '3', '1']","['Sankoh', 'Wittek', 'Bero', 'Manhoef', 'Cornelisse', 'Trondstad', 'Dijks', 'Meulensteen', 'Flamingo', 'Arcus', 'Scherpen']","['9', '32', '21', '42', '13', '8', '35', '20', '3', '2', '16']"
9,Matchday 17,21/01/2023,False,False,False,NEC,Emmen,3,1,0.45,0.55,20, 10 ,5, 4 ,0.59,0.41,0.72,0.06,0.22,1074,Goffertstadion,"[{'player_name': ' Cissoko ', 'player_number': ' 21'}, {'player_name': ' Dimata ', 'player_number': ' 19'}, {'player_name': ' Tavsan ', 'player_number': ' 7'}, {'player_name': ' Proper ', 'player_number': ' 71'}, {'player_name': ' Duelund ', 'player_number': ' 10'}, {'player_name': ' Schone ', 'player_number': ' 20'}, {'player_name': ' Verdonk ', 'player_number': ' 24'}, {'player_name': ' Sandler ', 'player_number': ' 3'}, {'player_name': ' Márquez ', 'player_number': ' 4'}, {'player_name': ' van Rooij ', 'player_number': ' 28'}, {'player_name': ' Cillessen ', 'player_number': ' 22'}]","[{'player_name': ' Zivkovic ', 'player_number': ' 9'}, {'player_name': ' Diemers ', 'player_number': ' 10'}, {'player_name': ' El Messaoudi ', 'player_number': ' 23'}, {'player_name': ' Romeny ', 'player_number': ' 77'}, {'player_name': ' Vlak ', 'player_number': ' 20'}, {'player_name': ' Veendorp ', 'player_number': ' 2'}, {'player_name': ' Dirksen ', 'player_number': ' 24'}, {'player_name': ' Veldmate ', 'player_number': ' 4'}, {'player_name': ' Araujo ', 'player_number': ' 5'}, {'player_name': ' Bouchouari ', 'player_number': ' 34'}, {'player_name': ' van der Hart ', 'player_number': ' 32'}]","['Cissoko', 'Dimata', 'Tavsan', 'Proper', 'Duelund', 'Schone', 'Verdonk', 'Sandler', 'Márquez', 'van Rooij', 'Cillessen']","['21', '19', '7', '71', '10', '20', '24', '3', '4', '28', '22']","['Zivkovic', 'Diemers', 'El Messaoudi', 'Romeny', 'Vlak', 'Veendorp', 'Dirksen', 'Veldmate', 'Araujo', 'Bouchouari', 'van der Hart']","['9', '10', '23', '77', '20', '2', '24', '4', '5', '34', '32']"
10,Matchday 17,20/01/2023,False,False,False,Excelsior,Volendam,2,0,0.47,0.53,17, 9 ,4, 0 ,0.58,0.42,0.65,0.1,0.25,1733,Van Donge & De Roo Stadion,"[{'player_name': ' Driouech ', 'player_number': ' 14'}, {'player_name': ' Kharchouch ', 'player_number': ' 9'}, {'player_name': ' Azarkan ', 'player_number': ' 10'}, {'player_name': ' Baas ', 'player_number': ' 33'}, {'player_name': ' Goudmijn ', 'player_number': ' 8'}, {'player_name': ' Fein ', 'player_number': ' 5'}, {'player_name': ' Tjoe-A-On ', 'player_number': ' 28'}, {'player_name': ' El Yaakoubi ', 'player_number': ' 4'}, {'player_name': ' Nieuwpoort ', 'player_number': ' 16'}, {'player_name': ' Horemans ', 'player_number': ' 2'}, {'player_name': ' van Gassel ', 'player_number': ' 1'}]","[{'player_name': ' Mühren ', 'player_number': ' 21'}, {'player_name': ' Oristanio ', 'player_number': ' 10'}, {'player_name': ' Ould-Chikh ', 'player_number': ' 11'}, {'player_name': ' Murkin ', 'player_number': ' 5'}, {'player_name': ' Eiting ', 'player_number': ' 8'}, {'player_name': ' Da Silva ', 'player_number': ' 12'}, {'player_name': ' Plat ', 'player_number': ' 3'}, {'player_name': ' Mirani ', 'player_number': ' 4'}, {'player_name': ' Benamar ', 'player_number': ' 6'}, {'player_name': ' Mbuyamba ', 'player_number': ' 31'}, {'player_name': ' Stankovic ', 'player_number': ' 1'}]","['Driouech', 'Kharchouch', 'Azarkan', 'Baas', 'Goudmijn', 'Fein', 'Tjoe-A-On', 'El Yaakoubi', 'Nieuwpoort', 'Horemans', 'van Gassel']","['14', '9', '10', '33', '8', '5', '28', '4', '16', '2', '1']","['Mühren', 'Oristanio', 'Ould-Chikh', 'Murkin', 'Eiting', 'Da Silva', 'Plat', 'Mirani', 'Benamar', 'Mbuyamba', 'Stankovic']","['21', '10', '11', '5', '8', '12', '3', '4', '6', '31', '1']"
