match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 18,23/01/2023,False,False,False,Valencia,Almería,2,2,0.58,0.42,16, 14 ,6, 3 ,0.53,0.47,0.84,0.05,0.11,26125,Mestalla,"[{'player_name': ' Cavani ', 'player_number': ' 7'}, {'player_name': ' Samuel Lino ', 'player_number': ' 16'}, {'player_name': ' Kluivert ', 'player_number': ' 9'}, {'player_name': ' André Almeida ', 'player_number': ' 18'}, {'player_name': ' Musah ', 'player_number': ' 4'}, {'player_name': ' Lato ', 'player_number': ' 3'}, {'player_name': ' Gayà ', 'player_number': ' 14'}, {'player_name': ' Özkacar ', 'player_number': ' 15'}, {'player_name': ' Gabriel Paulista ', 'player_number': ' 5'}, {'player_name': ' Foulquier ', 'player_number': ' 20'}, {'player_name': ' Mamardashvili ', 'player_number': ' 25'}]","[{'player_name': ' Ramazani ', 'player_number': ' 7'}, {'player_name': ' Touré ', 'player_number': ' 9'}, {'player_name': ' Baptistao ', 'player_number': ' 12'}, {'player_name': ' Melero ', 'player_number': ' 3'}, {'player_name': ' de Almeida Costa ', 'player_number': ' 23'}, {'player_name': ' Robertone ', 'player_number': ' 5'}, {'player_name': ' Rodriguez ', 'player_number': ' 15'}, {'player_name': ' Ely ', 'player_number': ' 19'}, {'player_name': ' Chumi ', 'player_number': ' 21'}, {'player_name': ' Mendes ', 'player_number': ' 24'}, {'player_name': ' Martínez ', 'player_number': ' 13'}]","['Cavani', 'Samuel Lino', 'Kluivert', 'André Almeida', 'Musah', 'Lato', 'Gayà', 'Özkacar', 'Gabriel Paulista', 'Foulquier', 'Mamardashvili']","['7', '16', '9', '18', '4', '3', '14', '15', '5', '20', '25']","['Ramazani', 'Touré', 'Baptistao', 'Melero', 'de Almeida Costa', 'Robertone', 'Rodriguez', 'Ely', 'Chumi', 'Mendes', 'Martínez']","['7', '9', '12', '3', '23', '5', '15', '19', '21', '24', '13']"
2,Matchday 18,22/01/2023,False,False,False,Athletic Club,Real Madrid,0,2,0.51,0.49,18, 10 ,3, 4 ,0.46,0.54,0.12,0.03,0.85,195899,San Mamés,"[{'player_name': ' Iñaki Williams ', 'player_number': ' 9'}, {'player_name': ' Berenguer ', 'player_number': ' 7'}, {'player_name': ' Sancet ', 'player_number': ' 8'}, {'player_name': ' Nico Williams ', 'player_number': ' 11'}, {'player_name': ' Vesga ', 'player_number': ' 6'}, {'player_name': ' Zarraga ', 'player_number': ' 19'}, {'player_name': ' Berchiche ', 'player_number': ' 17'}, {'player_name': ' Paredes ', 'player_number': ' 31'}, {'player_name': ' Vivian ', 'player_number': ' 3'}, {'player_name': ' De Marcos ', 'player_number': ' 18'}, {'player_name': ' Simón ', 'player_number': ' 1'}]","[{'player_name': ' Vinícius Júnior ', 'player_number': ' 20'}, {'player_name': ' Benzema ', 'player_number': ' 9'}, {'player_name': ' Asensio ', 'player_number': ' 11'}, {'player_name': ' Ceballos ', 'player_number': ' 19'}, {'player_name': ' Camavinga ', 'player_number': ' 12'}, {'player_name': ' Valverde ', 'player_number': ' 15'}, {'player_name': ' Mendy ', 'player_number': ' 23'}, {'player_name': ' Rüdiger ', 'player_number': ' 22'}, {'player_name': ' Éder Militão ', 'player_number': ' 3'}, {'player_name': ' Nacho ', 'player_number': ' 6'}, {'player_name': ' Courtois ', 'player_number': ' 1'}]","['Iñaki Williams', 'Berenguer', 'Sancet', 'Nico Williams', 'Vesga', 'Zarraga', 'Berchiche', 'Paredes', 'Vivian', 'De Marcos', 'Simón']","['9', '7', '8', '11', '6', '19', '17', '31', '3', '18', '1']","['Vinícius Júnior', 'Benzema', 'Asensio', 'Ceballos', 'Camavinga', 'Valverde', 'Mendy', 'Rüdiger', 'Éder Militão', 'Nacho', 'Courtois']","['20', '9', '11', '19', '12', '15', '23', '22', '3', '6', '1']"
3,Matchday 18,22/01/2023,False,False,False,Barcelona,Getafe,1,0,0.68,0.32,8, 7 ,4, 3 ,0.44,0.56,0.94,0.01,0.05,226963,Spotify Camp Nou,"[{'player_name': ' Raphinha ', 'player_number': ' 22'}, {'player_name': ' Fati ', 'player_number': ' 10'}, {'player_name': ' Dembélé ', 'player_number': ' 7'}, {'player_name': ' Gavi ', 'player_number': ' 30'}, {'player_name': ' Busquets ', 'player_number': ' 5'}, {'player_name': ' Pedri ', 'player_number': ' 8'}, {'player_name': ' Baldé ', 'player_number': ' 28'}, {'player_name': ' Christensen ', 'player_number': ' 15'}, {'player_name': ' Koundé ', 'player_number': ' 23'}, {'player_name': ' Sergi Roberto ', 'player_number': ' 20'}, {'player_name': ' Ter Stegen ', 'player_number': ' 1'}]","[{'player_name': ' Ünal ', 'player_number': ' 10'}, {'player_name': ' Alena ', 'player_number': ' 11'}, {'player_name': ' Milla ', 'player_number': ' 5'}, {'player_name': ' Algobia ', 'player_number': ' 16'}, {'player_name': ' Mayoral ', 'player_number': ' 19'}, {'player_name': ' Iglesias ', 'player_number': ' 21'}, {'player_name': ' Alderete ', 'player_number': ' 15'}, {'player_name': ' Duarte ', 'player_number': ' 6'}, {'player_name': ' Dakonam ', 'player_number': ' 2'}, {'player_name': ' Suarez ', 'player_number': ' 22'}, {'player_name': ' Soria ', 'player_number': ' 13'}]","['Raphinha', 'Fati', 'Dembélé', 'Gavi', 'Busquets', 'Pedri', 'Baldé', 'Christensen', 'Koundé', 'Sergi Roberto', 'Ter Stegen']","['22', '10', '7', '30', '5', '8', '28', '15', '23', '20', '1']","['Ünal', 'Alena', 'Milla', 'Algobia', 'Mayoral', 'Iglesias', 'Alderete', 'Duarte', 'Dakonam', 'Suarez', 'Soria']","['10', '11', '5', '16', '19', '21', '15', '6', '2', '22', '13']"
4,Matchday 18,22/01/2023,False,False,False,Elche,Osasuna,1,1,0.42,0.58,13, 8 ,4, 4 ,0.54,0.47,0.2,0.06,0.74,10995,Martínez Valero,"[{'player_name': ' Chaves de la Torre ', 'player_number': ' 16'}, {'player_name': ' Boyé ', 'player_number': ' 9'}, {'player_name': ' Milla ', 'player_number': ' 10'}, {'player_name': ' Blanco ', 'player_number': ' 2'}, {'player_name': ' Gumbau ', 'player_number': ' 20'}, {'player_name': ' Mascarell ', 'player_number': ' 21'}, {'player_name': ' Carmona ', 'player_number': ' 40'}, {'player_name': ' Bigas ', 'player_number': ' 6'}, {'player_name': ' Roco ', 'player_number': ' 3'}, {'player_name': ' Palacios ', 'player_number': ' 14'}, {'player_name': ' Badia ', 'player_number': ' 13'}]","[{'player_name': ' Barja Alfonso ', 'player_number': ' 11'}, {'player_name': ' Budimir ', 'player_number': ' 17'}, {'player_name': ' Ávila ', 'player_number': ' 9'}, {'player_name': ' Brasanac ', 'player_number': ' 8'}, {'player_name': ' Ibáñez ', 'player_number': ' 19'}, {'player_name': ' Gomez ', 'player_number': ' 16'}, {'player_name': ' Sánchez ', 'player_number': ' 20'}, {'player_name': ' García ', 'player_number': ' 5'}, {'player_name': ' Aridane ', 'player_number': ' 23'}, {'player_name': ' Moreno ', 'player_number': ' 35'}, {'player_name': ' Fernandez ', 'player_number': ' 25'}]","['Chaves de la Torre', 'Boyé', 'Milla', 'Blanco', 'Gumbau', 'Mascarell', 'Carmona', 'Bigas', 'Roco', 'Palacios', 'Badia']","['16', '9', '10', '2', '20', '21', '40', '6', '3', '14', '13']","['Barja Alfonso', 'Budimir', 'Ávila', 'Brasanac', 'Ibáñez', 'Gomez', 'Sánchez', 'García', 'Aridane', 'Moreno', 'Fernandez']","['11', '17', '9', '8', '19', '16', '20', '5', '23', '35', '25']"
5,Matchday 18,22/01/2023,False,False,False,Villarreal,Girona,1,0,0.7,0.3,19, 8 ,9, 1 ,0.47,0.53,0.8,0.05,0.15,13701,Estadio de la Cerámica,"[{'player_name': ' Yeremy ', 'player_number': ' 21'}, {'player_name': ' Moreno ', 'player_number': ' 7'}, {'player_name': ' Chukwueze ', 'player_number': ' 11'}, {'player_name': ' Baena Rodríguez ', 'player_number': ' 16'}, {'player_name': ' Parejo ', 'player_number': ' 10'}, {'player_name': ' Capoue ', 'player_number': ' 6'}, {'player_name': ' Mojica ', 'player_number': ' 12'}, {'player_name': ' Torres ', 'player_number': ' 4'}, {'player_name': ' Cuenca ', 'player_number': ' 5'}, {'player_name': ' Mandi ', 'player_number': ' 23'}, {'player_name': ' Reina ', 'player_number': ' 1'}]","[{'player_name': ' Stuani ', 'player_number': ' 7'}, {'player_name': ' Riquelme ', 'player_number': ' 17'}, {'player_name': ' Martín ', 'player_number': ' 23'}, {'player_name': ' Villa ', 'player_number': ' 12'}, {'player_name': ' Garcia ', 'player_number': ' 14'}, {'player_name': ' Romeu ', 'player_number': ' 18'}, {'player_name': ' Gutiérrez ', 'player_number': ' 3'}, {'player_name': ' Espinosa ', 'player_number': ' 2'}, {'player_name': ' Bueno ', 'player_number': ' 22'}, {'player_name': ' Martinez ', 'player_number': ' 4'}, {'player_name': ' Gazzaniga ', 'player_number': ' 13'}]","['Yeremy', 'Moreno', 'Chukwueze', 'Baena Rodríguez', 'Parejo', 'Capoue', 'Mojica', 'Torres', 'Cuenca', 'Mandi', 'Reina']","['21', '7', '11', '16', '10', '6', '12', '4', '5', '23', '1']","['Stuani', 'Riquelme', 'Martín', 'Villa', 'Garcia', 'Romeu', 'Gutiérrez', 'Espinosa', 'Bueno', 'Martinez', 'Gazzaniga']","['7', '17', '23', '12', '14', '18', '3', '2', '22', '4', '13']"
6,Matchday 18,21/01/2023,False,False,False,Sevilla,Cádiz,1,0,0.75,0.25,17, 4 ,9, 1 ,0.57,0.43,0.75,0.05,0.2,19116,Ramón Sánchez-Pizjuán,"[{'player_name': ' En-Nesyri ', 'player_number': ' 15'}, {'player_name': ' Rakitic ', 'player_number': ' 10'}, {'player_name': ' Torres ', 'player_number': ' 21'}, {'player_name': ' Lamela ', 'player_number': ' 17'}, {'player_name': ' Jordan ', 'player_number': ' 8'}, {'player_name': ' Fernando ', 'player_number': ' 20'}, {'player_name': ' Navas ', 'player_number': ' 16'}, {'player_name': ' Rekik ', 'player_number': ' 4'}, {'player_name': ' Gudelj ', 'player_number': ' 6'}, {'player_name': ' Badé ', 'player_number': ' 22'}, {'player_name': ' Bono ', 'player_number': ' 13'}]","[{'player_name': ' Lozano ', 'player_number': ' 9'}, {'player_name': ' Sobrino ', 'player_number': ' 7'}, {'player_name': ' Ocampo ', 'player_number': ' 14'}, {'player_name': ' Alex ', 'player_number': ' 8'}, {'player_name': ' Alcaraz ', 'player_number': ' 4'}, {'player_name': ' Bongonda ', 'player_number': ' 10'}, {'player_name': ' Espino ', 'player_number': ' 22'}, {'player_name': ' Mbaye ', 'player_number': ' 5'}, {'player_name': ' Hernández ', 'player_number': ' 23'}, {'player_name': ' Carcelén Valencia ', 'player_number': ' 20'}, {'player_name': ' Ledesma ', 'player_number': ' 1'}]","['En-Nesyri', 'Rakitic', 'Torres', 'Lamela', 'Jordan', 'Fernando', 'Navas', 'Rekik', 'Gudelj', 'Badé', 'Bono']","['15', '10', '21', '17', '8', '20', '16', '4', '6', '22', '13']","['Lozano', 'Sobrino', 'Ocampo', 'Alex', 'Alcaraz', 'Bongonda', 'Espino', 'Mbaye', 'Hernández', 'Carcelén Valencia', 'Ledesma']","['9', '7', '14', '8', '4', '10', '22', '5', '23', '20', '1']"
7,Matchday 18,21/01/2023,False,False,False,Atlético Madrid,Real Valladolid,3,0,0.47,0.53,18, 7 ,8, 1 ,0.46,0.54,0.88,0.02,0.1,41063,Cívitas Metropolitano,"[{'player_name': ' Morata ', 'player_number': ' 19'}, {'player_name': ' Griezmann ', 'player_number': ' 8'}, {'player_name': ' Lemar ', 'player_number': ' 11'}, {'player_name': ' Llorente ', 'player_number': ' 14'}, {'player_name': ' Correa ', 'player_number': ' 10'}, {'player_name': ' Koke ', 'player_number': ' 6'}, {'player_name': ' Mandava ', 'player_number': ' 23'}, {'player_name': ' Hermoso ', 'player_number': ' 22'}, {'player_name': ' Witsel ', 'player_number': ' 20'}, {'player_name': ' Molina ', 'player_number': ' 16'}, {'player_name': ' Oblak ', 'player_number': ' 13'}]","[{'player_name': ' Leon ', 'player_number': ' 7'}, {'player_name': ' Weissman ', 'player_number': ' 9'}, {'player_name': ' Plano ', 'player_number': ' 10'}, {'player_name': ' Aguado ', 'player_number': ' 6'}, {'player_name': ' Kike Pérez ', 'player_number': ' 4'}, {'player_name': ' Olaza ', 'player_number': ' 12'}, {'player_name': ' Torres ', 'player_number': ' 32'}, {'player_name': ' El Yamiq ', 'player_number': ' 15'}, {'player_name': ' Sanchez ', 'player_number': ' 5'}, {'player_name': ' Pérez ', 'player_number': ' 2'}, {'player_name': ' Masip ', 'player_number': ' 1'}]","['Morata', 'Griezmann', 'Lemar', 'Llorente', 'Correa', 'Koke', 'Mandava', 'Hermoso', 'Witsel', 'Molina', 'Oblak']","['19', '8', '11', '14', '10', '6', '23', '22', '20', '16', '13']","['Leon', 'Weissman', 'Plano', 'Aguado', 'Kike Pérez', 'Olaza', 'Torres', 'El Yamiq', 'Sanchez', 'Pérez', 'Masip']","['7', '9', '10', '6', '4', '12', '32', '15', '5', '2', '1']"
8,Matchday 18,21/01/2023,False,False,False,Espanyol,Real Betis,1,0,0.3,0.7,8, 13 ,2, 4 ,0.46,0.54,0.2,0.05,0.75,16315,RCDE Stadium,"[{'player_name': ' Braithwaite ', 'player_number': ' 17'}, {'player_name': ' Joselu ', 'player_number': ' 9'}, {'player_name': ' Puado ', 'player_number': ' 7'}, {'player_name': ' Darder ', 'player_number': ' 10'}, {'player_name': ' Vinicius Souza ', 'player_number': ' 12'}, {'player_name': ' Vidal ', 'player_number': ' 22'}, {'player_name': ' Oliván ', 'player_number': ' 14'}, {'player_name': ' Cabrera ', 'player_number': ' 4'}, {'player_name': ' Montes ', 'player_number': ' 23'}, {'player_name': ' Gil ', 'player_number': ' 2'}, {'player_name': ' Fernández Llorente ', 'player_number': ' 25'}]","[{'player_name': ' Iglesias ', 'player_number': ' 9'}, {'player_name': ' Guardado ', 'player_number': ' 18'}, {'player_name': ' Canales ', 'player_number': ' 10'}, {'player_name': ' Luiz Henrique ', 'player_number': ' 11'}, {'player_name': ' Carvalho ', 'player_number': ' 14'}, {'player_name': ' Rodríguez ', 'player_number': ' 5'}, {'player_name': ' da Silva Santos ', 'player_number': ' 20'}, {'player_name': ' Gonzalez ', 'player_number': ' 3'}, {'player_name': ' Pezzella ', 'player_number': ' 16'}, {'player_name': ' Ruibal ', 'player_number': ' 24'}, {'player_name': ' Bravo ', 'player_number': ' 1'}]","['Braithwaite', 'Joselu', 'Puado', 'Darder', 'Vinicius Souza', 'Vidal', 'Oliván', 'Cabrera', 'Montes', 'Gil', 'Fernández Llorente']","['17', '9', '7', '10', '12', '22', '14', '4', '23', '2', '25']","['Iglesias', 'Guardado', 'Canales', 'Luiz Henrique', 'Carvalho', 'Rodríguez', 'da Silva Santos', 'Gonzalez', 'Pezzella', 'Ruibal', 'Bravo']","['9', '18', '10', '11', '14', '5', '20', '3', '16', '24', '1']"
9,Matchday 18,21/01/2023,False,False,False,Rayo Vallecano,Real Sociedad,0,2,0.55,0.45,14, 12 ,2, 7 ,0.52,0.48,0.18,0.05,0.77,13606,Estadio de Vallecas,"[{'player_name': ' Camello ', 'player_number': ' 34'}, {'player_name': ' Garcia ', 'player_number': ' 18'}, {'player_name': ' Trejo ', 'player_number': ' 8'}, {'player_name': ' Isi Palazón ', 'player_number': ' 7'}, {'player_name': ' Ciss ', 'player_number': ' 21'}, {'player_name': ' Lopez ', 'player_number': ' 17'}, {'player_name': ' Fran García ', 'player_number': ' 3'}, {'player_name': ' Catena ', 'player_number': ' 5'}, {'player_name': ' Lejeune ', 'player_number': ' 19'}, {'player_name': ' Balliu ', 'player_number': ' 20'}, {'player_name': ' Dimitrievski ', 'player_number': ' 1'}]","[{'player_name': ' Sorloth ', 'player_number': ' 19'}, {'player_name': ' Barrenetxea ', 'player_number': ' 7'}, {'player_name': ' Silva ', 'player_number': ' 21'}, {'player_name': ' Marín ', 'player_number': ' 42'}, {'player_name': ' Mendez ', 'player_number': ' 23'}, {'player_name': ' Illarramendi ', 'player_number': ' 4'}, {'player_name': ' Salguero ', 'player_number': ' 15'}, {'player_name': ' Le Normand ', 'player_number': ' 24'}, {'player_name': ' Zubeldia ', 'player_number': ' 5'}, {'player_name': ' Elustondo ', 'player_number': ' 6'}, {'player_name': ' Remiro ', 'player_number': ' 1'}]","['Camello', 'Garcia', 'Trejo', 'Isi Palazón', 'Ciss', 'Lopez', 'Fran García', 'Catena', 'Lejeune', 'Balliu', 'Dimitrievski']","['34', '18', '8', '7', '21', '17', '3', '5', '19', '20', '1']","['Sorloth', 'Barrenetxea', 'Silva', 'Marín', 'Mendez', 'Illarramendi', 'Salguero', 'Le Normand', 'Zubeldia', 'Elustondo', 'Remiro']","['19', '7', '21', '42', '23', '4', '15', '24', '5', '6', '1']"
10,Matchday 18,20/01/2023,False,False,False,Mallorca,Celta Vigo,1,0,0.41,0.59,8, 10 ,3, 3 ,0.48,0.52,0.39,0.08,0.53,16999,Estadi Mallorca Son Moix,"[{'player_name': ' Muriqi ', 'player_number': ' 7'}, {'player_name': ' Ndiaye ', 'player_number': ' 23'}, {'player_name': ' Ruiz de Galarreta ', 'player_number': ' 4'}, {'player_name': ' Baba ', 'player_number': ' 12'}, {'player_name': ' Rodríguez Vázquez ', 'player_number': ' 14'}, {'player_name': ' Costa ', 'player_number': ' 18'}, {'player_name': ' Nastasic ', 'player_number': ' 2'}, {'player_name': ' Raillo ', 'player_number': ' 21'}, {'player_name': ' Valjent ', 'player_number': ' 24'}, {'player_name': ' Maffeo ', 'player_number': ' 15'}, {'player_name': ' Rajković ', 'player_number': ' 1'}]","[{'player_name': ' Aspas ', 'player_number': ' 10'}, {'player_name': ' Strand Larsen ', 'player_number': ' 18'}, {'player_name': ' De la Torre ', 'player_number': ' 23'}, {'player_name': ' Beltran ', 'player_number': ' 8'}, {'player_name': ' Veiga ', 'player_number': ' 24'}, {'player_name': ' Cervi ', 'player_number': ' 11'}, {'player_name': ' Nunez ', 'player_number': ' 4'}, {'player_name': ' Aidoo ', 'player_number': ' 15'}, {'player_name': ' Mingueza ', 'player_number': ' 3'}, {'player_name': ' Mallo ', 'player_number': ' 2'}, {'player_name': ' Marchesín ', 'player_number': ' 1'}]","['Muriqi', 'Ndiaye', 'Ruiz de Galarreta', 'Baba', 'Rodríguez Vázquez', 'Costa', 'Nastasic', 'Raillo', 'Valjent', 'Maffeo', 'Rajković']","['7', '23', '4', '12', '14', '18', '2', '21', '24', '15', '1']","['Aspas', 'Strand Larsen', 'De la Torre', 'Beltran', 'Veiga', 'Cervi', 'Nunez', 'Aidoo', 'Mingueza', 'Mallo', 'Marchesín']","['10', '18', '23', '8', '24', '11', '4', '15', '3', '2', '1']"
