match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 21,23/01/2023,False,False,False,Fulham,Tottenham,0,1,0.53,0.47,10, 10 ,5, 3 ,0.42,0.58,0.23,0.05,0.72,71696,Craven Cottage,"[{'player_name': ' Mitrović ', 'player_number': ' 9'}, {'player_name': ' Willian ', 'player_number': ' 20'}, {'player_name': ' Pereira ', 'player_number': ' 18'}, {'player_name': ' Decordova-Reid ', 'player_number': ' 14'}, {'player_name': ' Reed ', 'player_number': ' 6'}, {'player_name': ' Palhinha ', 'player_number': ' 26'}, {'player_name': ' Robinson ', 'player_number': ' 33'}, {'player_name': ' Ream ', 'player_number': ' 13'}, {'player_name': ' Diop ', 'player_number': ' 31'}, {'player_name': ' Tete ', 'player_number': ' 2'}, {'player_name': ' Leno ', 'player_number': ' 17'}]","[{'player_name': ' Kane ', 'player_number': ' 10'}, {'player_name': ' Son Heung-min ', 'player_number': ' 7'}, {'player_name': ' Kulusevski ', 'player_number': ' 21'}, {'player_name': ' Perišić ', 'player_number': ' 14'}, {'player_name': ' Bentancur ', 'player_number': ' 30'}, {'player_name': ' Højbjerg ', 'player_number': ' 5'}, {'player_name': ' Emerson ', 'player_number': ' 12'}, {'player_name': ' Davies ', 'player_number': ' 33'}, {'player_name': ' Dier ', 'player_number': ' 15'}, {'player_name': ' Romero ', 'player_number': ' 17'}, {'player_name': ' Lloris ', 'player_number': ' 1'}]","['Mitrović', 'Willian', 'Pereira', 'Decordova-Reid', 'Reed', 'Palhinha', 'Robinson', 'Ream', 'Diop', 'Tete', 'Leno']","['9', '20', '18', '14', '6', '26', '33', '13', '31', '2', '17']","['Kane', 'Son Heung-min', 'Kulusevski', 'Perišić', 'Bentancur', 'Højbjerg', 'Emerson', 'Davies', 'Dier', 'Romero', 'Lloris']","['10', '7', '21', '14', '30', '5', '12', '33', '15', '17', '1']"
2,Matchday 21,22/01/2023,False,False,False,Arsenal,Manchester United,3,2,0.58,0.42,25, 6 ,5, 4 ,0.5,0.51,0.46,0.05,0.49,256077,Emirates Stadium,"[{'player_name': ' Martinelli ', 'player_number': ' 11'}, {'player_name': ' Nketiah ', 'player_number': ' 14'}, {'player_name': ' Saka ', 'player_number': ' 7'}, {'player_name': ' Xhaka ', 'player_number': ' 34'}, {'player_name': ' Partey ', 'player_number': ' 5'}, {'player_name': ' Ødegaard ', 'player_number': ' 8'}, {'player_name': ' Zinchenko ', 'player_number': ' 35'}, {'player_name': ' Gabriel ', 'player_number': ' 6'}, {'player_name': ' Saliba ', 'player_number': ' 12'}, {'player_name': ' White ', 'player_number': ' 4'}, {'player_name': ' Ramsdale ', 'player_number': ' 1'}]","[{'player_name': ' Weghorst ', 'player_number': ' 27'}, {'player_name': ' Rashford ', 'player_number': ' 10'}, {'player_name': ' Fernandes ', 'player_number': ' 8'}, {'player_name': ' Antony ', 'player_number': ' 21'}, {'player_name': ' McTominay ', 'player_number': ' 39'}, {'player_name': ' Eriksen ', 'player_number': ' 14'}, {'player_name': ' Shaw ', 'player_number': ' 23'}, {'player_name': ' Martínez ', 'player_number': ' 6'}, {'player_name': ' Varane ', 'player_number': ' 19'}, {'player_name': ' Wan-Bissaka ', 'player_number': ' 29'}, {'player_name': ' De Gea ', 'player_number': ' 1'}]","['Martinelli', 'Nketiah', 'Saka', 'Xhaka', 'Partey', 'Ødegaard', 'Zinchenko', 'Gabriel', 'Saliba', 'White', 'Ramsdale']","['11', '14', '7', '34', '5', '8', '35', '6', '12', '4', '1']","['Weghorst', 'Rashford', 'Fernandes', 'Antony', 'McTominay', 'Eriksen', 'Shaw', 'Martínez', 'Varane', 'Wan-Bissaka', 'De Gea']","['27', '10', '8', '21', '39', '14', '23', '6', '19', '29', '1']"
3,Matchday 21,22/01/2023,False,False,False,Manchester City,Wolves,3,0,0.56,0.44,13, 10 ,7, 1 ,0.49,0.51,0.89,0.02,0.09,106098,Etihad Stadium,"[{'player_name': ' Haaland ', 'player_number': ' 9'}, {'player_name': ' Grealish ', 'player_number': ' 10'}, {'player_name': ' Gündoğan ', 'player_number': ' 8'}, {'player_name': ' De Bruyne ', 'player_number': ' 17'}, {'player_name': ' Mahrez ', 'player_number': ' 26'}, {'player_name': ' Rodri ', 'player_number': ' 16'}, {'player_name': ' Lewis ', 'player_number': ' 82'}, {'player_name': ' Laporte ', 'player_number': ' 14'}, {'player_name': ' Akanji ', 'player_number': ' 25'}, {'player_name': ' Stones ', 'player_number': ' 5'}, {'player_name': ' Ederson ', 'player_number': ' 31'}]","[{'player_name': ' Hwang Hee-chan ', 'player_number': ' 11'}, {'player_name': ' Jiménez ', 'player_number': ' 9'}, {'player_name': ' Traore ', 'player_number': ' 37'}, {'player_name': ' Nunes ', 'player_number': ' 27'}, {'player_name': ' Neves ', 'player_number': ' 8'}, {'player_name': ' Lemina ', 'player_number': ' 5'}, {'player_name': ' Bueno ', 'player_number': ' 64'}, {'player_name': ' Kilman ', 'player_number': ' 23'}, {'player_name': ' Collins ', 'player_number': ' 4'}, {'player_name': ' Semedo ', 'player_number': ' 22'}, {'player_name': ' Sá ', 'player_number': ' 1'}]","['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Mahrez', 'Rodri', 'Lewis', 'Laporte', 'Akanji', 'Stones', 'Ederson']","['9', '10', '8', '17', '26', '16', '82', '14', '25', '5', '31']","['Hwang Hee-chan', 'Jiménez', 'Traore', 'Nunes', 'Neves', 'Lemina', 'Bueno', 'Kilman', 'Collins', 'Semedo', 'Sá']","['11', '9', '37', '27', '8', '5', '64', '23', '4', '22', '1']"
4,Matchday 21,22/01/2023,False,False,False,Leeds,Brentford,0,0,0.59,0.41,9, 6 ,5, 0 ,0.54,0.46,0.45,0.07,0.48,23129,Elland Road,"[{'player_name': ' Rodrigo Moreno ', 'player_number': ' 19'}, {'player_name': ' Harrison ', 'player_number': ' 11'}, {'player_name': ' Gnonto ', 'player_number': ' 29'}, {'player_name': ' Aaronson ', 'player_number': ' 7'}, {'player_name': ' Roca ', 'player_number': ' 8'}, {'player_name': ' Adams ', 'player_number': ' 12'}, {'player_name': ' Struijk ', 'player_number': ' 21'}, {'player_name': ' Wöber ', 'player_number': ' 39'}, {'player_name': ' Koch ', 'player_number': ' 5'}, {'player_name': ' Ayling ', 'player_number': ' 2'}, {'player_name': ' Meslier ', 'player_number': ' 1'}]","[{'player_name': ' Mbeumo ', 'player_number': ' 19'}, {'player_name': ' Toney ', 'player_number': ' 17'}, {'player_name': ' Henry ', 'player_number': ' 3'}, {'player_name': ' Jensen ', 'player_number': ' 8'}, {'player_name': ' Nørgaard ', 'player_number': ' 6'}, {'player_name': ' Dasilva ', 'player_number': ' 10'}, {'player_name': ' Roerslev ', 'player_number': ' 30'}, {'player_name': ' Mee ', 'player_number': ' 16'}, {'player_name': ' Pinnock ', 'player_number': ' 5'}, {'player_name': ' Ajer ', 'player_number': ' 20'}, {'player_name': ' Raya ', 'player_number': ' 1'}]","['Rodrigo Moreno', 'Harrison', 'Gnonto', 'Aaronson', 'Roca', 'Adams', 'Struijk', 'Wöber', 'Koch', 'Ayling', 'Meslier']","['19', '11', '29', '7', '8', '12', '21', '39', '5', '2', '1']","['Mbeumo', 'Toney', 'Henry', 'Jensen', 'Nørgaard', 'Dasilva', 'Roerslev', 'Mee', 'Pinnock', 'Ajer', 'Raya']","['19', '17', '3', '8', '6', '10', '30', '16', '5', '20', '1']"
5,Matchday 21,21/01/2023,False,False,False,Crystal Palace,Newcastle United,0,0,0.39,0.61,6, 16 ,1, 7 ,0.5,0.5,0.15,0.04,0.81,35182,Selhurst Park,"[{'player_name': ' Édouard ', 'player_number': ' 22'}, {'player_name': ' Zaha ', 'player_number': ' 11'}, {'player_name': ' Eze ', 'player_number': ' 10'}, {'player_name': ' Jordan Ayew ', 'player_number': ' 9'}, {'player_name': ' Schlupp ', 'player_number': ' 15'}, {'player_name': ' Doucouré ', 'player_number': ' 28'}, {'player_name': ' Mitchell ', 'player_number': ' 3'}, {'player_name': ' Guéhi ', 'player_number': ' 6'}, {'player_name': ' Richards ', 'player_number': ' 26'}, {'player_name': ' Ward ', 'player_number': ' 2'}, {'player_name': ' Guaita ', 'player_number': ' 13'}]","[{'player_name': ' Joelinton ', 'player_number': ' 7'}, {'player_name': ' Wilson ', 'player_number': ' 9'}, {'player_name': ' Almirón ', 'player_number': ' 24'}, {'player_name': ' Willock ', 'player_number': ' 28'}, {'player_name': ' Bruno Guimarães ', 'player_number': ' 39'}, {'player_name': ' Longstaff ', 'player_number': ' 36'}, {'player_name': ' Burn ', 'player_number': ' 33'}, {'player_name': ' Botman ', 'player_number': ' 4'}, {'player_name': ' Schär ', 'player_number': ' 5'}, {'player_name': ' Trippier ', 'player_number': ' 2'}, {'player_name': ' Pope ', 'player_number': ' 22'}]","['Édouard', 'Zaha', 'Eze', 'Jordan Ayew', 'Schlupp', 'Doucouré', 'Mitchell', 'Guéhi', 'Richards', 'Ward', 'Guaita']","['22', '11', '10', '9', '15', '28', '3', '6', '26', '2', '13']","['Joelinton', 'Wilson', 'Almirón', 'Willock', 'Bruno Guimarães', 'Longstaff', 'Burn', 'Botman', 'Schär', 'Trippier', 'Pope']","['7', '9', '24', '28', '39', '36', '33', '4', '5', '2', '22']"
6,Matchday 21,21/01/2023,False,False,False,West Ham,Everton,2,0,0.32,0.68,11, 5 ,4, 2 ,0.48,0.52,0.64,0.09,0.27,29772,London Stadium,"[{'player_name': ' Antonio ', 'player_number': ' 9'}, {'player_name': ' Benrahma ', 'player_number': ' 22'}, {'player_name': ' Bowen ', 'player_number': ' 20'}, {'player_name': ' Emerson ', 'player_number': ' 33'}, {'player_name': ' Rice ', 'player_number': ' 41'}, {'player_name': ' Lucas Paquetá ', 'player_number': ' 11'}, {'player_name': ' Coufal ', 'player_number': ' 5'}, {'player_name': ' Aguerd ', 'player_number': ' 27'}, {'player_name': ' Ogbonna ', 'player_number': ' 21'}, {'player_name': ' Zouma ', 'player_number': ' 4'}, {'player_name': ' Fabianski ', 'player_number': ' 1'}]","[{'player_name': ' Calvert-Lewin ', 'player_number': ' 9'}, {'player_name': ' Gray ', 'player_number': ' 11'}, {'player_name': ' Iwobi ', 'player_number': ' 17'}, {'player_name': ' Mykolenko ', 'player_number': ' 19'}, {'player_name': ' Gueye ', 'player_number': ' 27'}, {'player_name': ' Onana ', 'player_number': ' 8'}, {'player_name': ' Coleman ', 'player_number': ' 23'}, {'player_name': ' Tarkowski ', 'player_number': ' 2'}, {'player_name': ' Coady ', 'player_number': ' 30'}, {'player_name': ' Mina ', 'player_number': ' 13'}, {'player_name': ' Pickford ', 'player_number': ' 1'}]","['Antonio', 'Benrahma', 'Bowen', 'Emerson', 'Rice', 'Lucas Paquetá', 'Coufal', 'Aguerd', 'Ogbonna', 'Zouma', 'Fabianski']","['9', '22', '20', '33', '41', '11', '5', '27', '21', '4', '1']","['Calvert-Lewin', 'Gray', 'Iwobi', 'Mykolenko', 'Gueye', 'Onana', 'Coleman', 'Tarkowski', 'Coady', 'Mina', 'Pickford']","['9', '11', '17', '19', '27', '8', '23', '2', '30', '13', '1']"
7,Matchday 21,21/01/2023,False,False,False,Southampton,Aston Villa,0,1,0.36,0.64,8, 16 ,5, 5 ,0.52,0.48,0.21,0.05,0.74,27366,St. Mary's Stadium,"[{'player_name': ' Adams ', 'player_number': ' 10'}, {'player_name': ' Armstrong ', 'player_number': ' 9'}, {'player_name': ' Ward-Prowse ', 'player_number': ' 8'}, {'player_name': ' Edozie ', 'player_number': ' 23'}, {'player_name': ' Lavia ', 'player_number': ' 45'}, {'player_name': ' Diallo ', 'player_number': ' 27'}, {'player_name': ' Walker-Peters ', 'player_number': ' 2'}, {'player_name': ' Salisu ', 'player_number': ' 22'}, {'player_name': ' Caleta Car ', 'player_number': ' 6'}, {'player_name': ' Lyanco ', 'player_number': ' 4'}, {'player_name': ' Bazunu ', 'player_number': ' 31'}]","[{'player_name': ' Watkins ', 'player_number': ' 11'}, {'player_name': ' Bailey ', 'player_number': ' 31'}, {'player_name': ' Buendía ', 'player_number': ' 10'}, {'player_name': ' Kamara ', 'player_number': ' 44'}, {'player_name': ' Douglas Luiz ', 'player_number': ' 6'}, {'player_name': ' Ramsey ', 'player_number': ' 41'}, {'player_name': ' Moreno ', 'player_number': ' 15'}, {'player_name': ' Mings ', 'player_number': ' 5'}, {'player_name': ' Konsa ', 'player_number': ' 4'}, {'player_name': ' Young ', 'player_number': ' 18'}, {'player_name': ' Martínez ', 'player_number': ' 1'}]","['Adams', 'Armstrong', 'Ward-Prowse', 'Edozie', 'Lavia', 'Diallo', 'Walker-Peters', 'Salisu', 'Caleta Car', 'Lyanco', 'Bazunu']","['10', '9', '8', '23', '45', '27', '2', '22', '6', '4', '31']","['Watkins', 'Bailey', 'Buendía', 'Kamara', 'Douglas Luiz', 'Ramsey', 'Moreno', 'Mings', 'Konsa', 'Young', 'Martínez']","['11', '31', '10', '44', '6', '41', '15', '5', '4', '18', '1']"
8,Matchday 21,21/01/2023,False,False,False,Leicester,Brighton,2,2,0.36,0.64,9, 13 ,2, 4 ,0.53,0.47,0.29,0.04,0.67,28101,King Power Stadium,"[{'player_name': ' Dewsbury-Hall ', 'player_number': ' 22'}, {'player_name': ' Vardy ', 'player_number': ' 9'}, {'player_name': ' Barnes ', 'player_number': ' 7'}, {'player_name': ' Mendy ', 'player_number': ' 24'}, {'player_name': ' Tielemans ', 'player_number': ' 8'}, {'player_name': ' Praet ', 'player_number': ' 26'}, {'player_name': ' Thomas ', 'player_number': ' 33'}, {'player_name': ' Faes ', 'player_number': ' 3'}, {'player_name': ' Amartey ', 'player_number': ' 18'}, {'player_name': ' Castagne ', 'player_number': ' 27'}, {'player_name': ' Ward ', 'player_number': ' 1'}]","[{'player_name': ' Welbeck ', 'player_number': ' 18'}, {'player_name': ' Mitoma ', 'player_number': ' 22'}, {'player_name': ' Lallana ', 'player_number': ' 14'}, {'player_name': ' March ', 'player_number': ' 7'}, {'player_name': ' Mac Allister ', 'player_number': ' 10'}, {'player_name': ' Caicedo ', 'player_number': ' 25'}, {'player_name': ' Estupiñán ', 'player_number': ' 30'}, {'player_name': ' Dunk ', 'player_number': ' 5'}, {'player_name': ' van Hecke ', 'player_number': ' 29'}, {'player_name': ' Groß ', 'player_number': ' 13'}, {'player_name': ' Sánchez ', 'player_number': ' 1'}]","['Dewsbury-Hall', 'Vardy', 'Barnes', 'Mendy', 'Tielemans', 'Praet', 'Thomas', 'Faes', 'Amartey', 'Castagne', 'Ward']","['22', '9', '7', '24', '8', '26', '33', '3', '18', '27', '1']","['Welbeck', 'Mitoma', 'Lallana', 'March', 'Mac Allister', 'Caicedo', 'Estupiñán', 'Dunk', 'van Hecke', 'Groß', 'Sánchez']","['18', '22', '14', '7', '10', '25', '30', '5', '29', '13', '1']"
9,Matchday 21,21/01/2023,False,False,False,Bournemouth,Nottingham Forest,1,1,0.42,0.58,16, 20 ,4, 5 ,0.42,0.58,0.23,0.06,0.71,22528,Vitality Stadium,"[{'player_name': ' Moore ', 'player_number': ' 21'}, {'player_name': ' Christie ', 'player_number': ' 10'}, {'player_name': ' Anthony ', 'player_number': ' 32'}, {'player_name': ' Lerma ', 'player_number': ' 8'}, {'player_name': ' Rothwell ', 'player_number': ' 14'}, {'player_name': ' Ouattara ', 'player_number': ' 11'}, {'player_name': ' Zemura ', 'player_number': ' 33'}, {'player_name': ' Kelly ', 'player_number': ' 5'}, {'player_name': ' Stephens ', 'player_number': ' 3'}, {'player_name': ' Smith ', 'player_number': ' 15'}, {'player_name': ' Neto ', 'player_number': ' 13'}]","[{'player_name': ' Wood ', 'player_number': ' 39'}, {'player_name': ' Johnson ', 'player_number': ' 20'}, {'player_name': ' Gibbs-White ', 'player_number': ' 10'}, {'player_name': ' Mangala ', 'player_number': ' 5'}, {'player_name': ' Freuler ', 'player_number': ' 23'}, {'player_name': ' Yates ', 'player_number': ' 22'}, {'player_name': ' Lodi ', 'player_number': ' 32'}, {'player_name': ' Boly ', 'player_number': ' 30'}, {'player_name': ' Worrall ', 'player_number': ' 4'}, {'player_name': ' Aurier ', 'player_number': ' 24'}, {'player_name': ' Hennessey ', 'player_number': ' 13'}]","['Moore', 'Christie', 'Anthony', 'Lerma', 'Rothwell', 'Ouattara', 'Zemura', 'Kelly', 'Stephens', 'Smith', 'Neto']","['21', '10', '32', '8', '14', '11', '33', '5', '3', '15', '13']","['Wood', 'Johnson', 'Gibbs-White', 'Mangala', 'Freuler', 'Yates', 'Lodi', 'Boly', 'Worrall', 'Aurier', 'Hennessey']","['39', '20', '10', '5', '23', '22', '32', '30', '4', '24', '13']"
10,Matchday 21,21/01/2023,False,False,False,Liverpool,Chelsea,0,0,0.47,0.53,15, 11 ,3, 2 ,0.45,0.56,0.54,0.09,0.37,185345,Anfield,"[{'player_name': ' Elliott ', 'player_number': ' 19'}, {'player_name': ' Gakpo ', 'player_number': ' 18'}, {'player_name': ' Salah ', 'player_number': ' 11'}, {'player_name': ' Thiago ', 'player_number': ' 6'}, {'player_name': ' Bajcetic ', 'player_number': ' 43'}, {'player_name': ' Keita ', 'player_number': ' 8'}, {'player_name': ' Robertson ', 'player_number': ' 26'}, {'player_name': ' Gomez ', 'player_number': ' 2'}, {'player_name': ' Konaté ', 'player_number': ' 5'}, {'player_name': ' Milner ', 'player_number': ' 7'}, {'player_name': ' Alisson ', 'player_number': ' 1'}]","[{'player_name': ' Havertz ', 'player_number': ' 29'}, {'player_name': ' Mount ', 'player_number': ' 19'}, {'player_name': ' Gallagher ', 'player_number': ' 23'}, {'player_name': ' Cucurella ', 'player_number': ' 32'}, {'player_name': ' Hall ', 'player_number': ' 67'}, {'player_name': ' Jorginho ', 'player_number': ' 5'}, {'player_name': ' Ziyech ', 'player_number': ' 22'}, {'player_name': ' Badiashile ', 'player_number': ' 4'}, {'player_name': ' Thiago Silva ', 'player_number': ' 6'}, {'player_name': ' Chalobah ', 'player_number': ' 14'}, {'player_name': ' Arrizabalaga ', 'player_number': ' 1'}]","['Elliott', 'Gakpo', 'Salah', 'Thiago', 'Bajcetic', 'Keita', 'Robertson', 'Gomez', 'Konaté', 'Milner', 'Alisson']","['19', '18', '11', '6', '43', '8', '26', '2', '5', '7', '1']","['Havertz', 'Mount', 'Gallagher', 'Cucurella', 'Hall', 'Jorginho', 'Ziyech', 'Badiashile', 'Thiago Silva', 'Chalobah', 'Arrizabalaga']","['29', '19', '23', '32', '67', '5', '22', '4', '6', '14', '1']"
